,Date Notice Provided to Consumers,Dates of Breach,Name of Entity,Individuals Affected,State Reported
1410,2018-12-14,2018-09-10,MetropolitanLifeInsuranceCompany,104 (1 in Indiana),Indiana
1411,2018-02-08,2018-02-05,MiamiCorrectionalFacility,465 (465 in Indiana),Indiana
1412,2018-01-19,2017-12-28,"Mindlance,Inc.",3085 (48 in Indiana),Indiana
1413,2018-03-27,2018-02-16,MintieCorporation-DataBreach,349 (2 in Indiana),Indiana
1414,2018-04-13,2018-03-06,MiseEnPlaceRestaurantServicesInc-DataBreach,27997 (1 in Indiana),Indiana
1415,2018-12-26,2018-09-26,MJInsurance-DataBreach,5375 (2 in Indiana),Indiana
1416,2018-08-16,2018-07-24,MondelezGlobalLLC-DataBreach,105 (2 in Indiana),Indiana
1417,2018-02-23,2018-02-01,"MoneyGramInternational,Inc.",81 (1 in Indiana),Indiana
1418,2018-01-12,2017-11-01,MonticelloCentralSchoolDistrict,2598 (1 in Indiana),Indiana
1419,,,"McKenzie, Jessica",Unknown (Unknown in Indiana),Indiana
1420,2018-07-23,2018-04-06,MooreStephensTillerLLC-DataBreach,1032 (2 in Indiana),Indiana
1421,2018-02-02,2018-01-23,MorganStanleySmithBarneyLLC,1 (1 in Indiana),Indiana
1422,2018-05-10,2018-03-11,MountwestCommunityandTechnicalCollege-DataBreach,1154 (2 in Indiana),Indiana
1423,2018-08-31,2017-10-09,MovementMortgageLLC-DataBreach,60064 (179 in Indiana),Indiana
1424,2018-07-05,2018-05-07,MSKGroupPC-DataBreach,566236 (173 in Indiana),Indiana
1425,2018-02-23,2017-11-08,MuellerCPA,2921 (62 in Indiana),Indiana
1426,2018-08-20,2018-07-21,MunroandCompanyInc-DataBreach,728 (5 in Indiana),Indiana
1427,2018-11-01,2018-08-29,MutualofOmahaBank-DataBreach,47 (1 in Indiana),Indiana
1428,2018-03-14,2018-01-21,NampaSchoolDistrict-DataBreach,4054 (1 in Indiana),Indiana
1429,2018-09-07,2018-03-27,NardellaandTaylorLLP-DataBreach,2987 (12 in Indiana),Indiana
1430,2018-05-23,2017-10-01,NationalRailroadPassengerCorporation(Amtrak)-DataBreach,2853 (34 in Indiana),Indiana
1431,2018-05-01,2018-01-14,NationalRecreationandParkAssociation-DataBreach,336 (3 in Indiana),Indiana
1432,2018-01-22,2017-07-16,"NationalStores,Inc.",609064 (TBD in Indiana),Indiana
1433,2018-07-03,2018-01-12,NaviauxDubowHarrisLLC-DataBreach,325 (4 in Indiana),Indiana
1434,2018-02-13,2018-01-24,"Navistar,Inc.",253 (17 in Indiana),Indiana
1435,2018-03-09,2018-01-13,NeilDDilorenzoCPAPC,963 (1 in Indiana),Indiana
1436,2018-08-13,2018-07-10,NekoosaCoatedProductsLLC-DataBreach,720 (1 in Indiana),Indiana
1437,2018-10-25,2018-09-22,Net32Inc-DataBreach,10000 (119 in Indiana),Indiana
1438,2018-04-02,2017-08-01,NewHorizonsClinicalResearchLLC-DataBreach,221 (3 in Indiana),Indiana
1439,2018-10-02,2018-09-01,NewPennFinancialLLCdbaShellpointMortgageServicing-DataBreach,157 (1 in Indiana),Indiana
1440,2018-11-16,2018-04-20,NewYorkOncologyHematologyPC-DataBreach,128420 (21 in Indiana),Indiana
1441,2018-11-15,2018-08-13,NeweggInc-DataBreach,202231 (3017 in Indiana),Indiana
1442,,,"Kindig, Heather",Unknown (Unknown in Indiana),Indiana
1443,2018-11-16,2018-10-16,NextGenHealthcareInc-DataBreach,Unknown (Unknown in Indiana),Indiana
1444,2018-12-14,2018-05-01,NFMLending-DataBreach,7069 (16 in Indiana),Indiana
1445,2018-03-23,2018-03-13,NFPProperty&CasualtyServicesInc-DataBreach,573 (36 in Indiana),Indiana
1446,2018-11-05,2018-10-09,NordstromInc-DataBreach,107106 (603 in Indiana),Indiana
1447,2018-02-23,2017-01-20,North40Outfitters,14734 (194 in Indiana),Indiana
1448,2018-08-06,,NorthAmericanPowerandGasLLC-DataBreach,8690 (66 in Indiana),Indiana
1449,2018-08-31,2018-02-07,NorthAmericanRiskServicesInc-DataBreach,2693 (368 in Indiana),Indiana
1450,2018-04-23,2018-02-09,NorthTexasMedicalCenter-DataBreach,3350 (1 in Indiana),Indiana
1451,2018-10-30,2018-05-08,NorthbayHealthcareCorporation-DataBreach,1567 (1 in Indiana),Indiana
1452,2018-01-17,2017-11-20,NorthsideAnesthesiaServicesLLC,75 (Unknown in Indiana),Indiana
1453,2018-10-05,2018-05-22,NorthwestSurgicalSpecialistsPCdbaReboundOrthopedicsNeurosurgery-DataBreach,2245 (1 in Indiana),Indiana
1454,2018-06-29,2018-02-12,NorthwestUniversity-DataBreach,1802 (5 in Indiana),Indiana
1455,2018-09-15,2018-07-25,NotreDameClinicalLawCenter-DataBreach,2 (2 in Indiana),Indiana
1456,2018-06-20,2018-04-23,NotreDamedeNamurUniversity-DataBreach,2879 (4 in Indiana),Indiana
1457,2018-06-21,2018-06-19,NovareNationalSettlementServiceLLC-DataBreach,1 (1 in Indiana),Indiana
1458,2017-12-04,2017-12-03,State o. Indiana,4 (4 in Indiana),Indiana
1459,2018-06-15,2018-04-13,OFDFoodsLLC-DataBreach,685 (17 in Indiana),Indiana
1460,2018-04-17,2018-02-15,OhnwardBancsharesInc-DataBreach,125 (1 in Indiana),Indiana
1461,2018-07-06,2018-04-11,OldRARIncformerlyRealAlloyRecyclingInc-DataBreach,3871 (888 in Indiana),Indiana
1462,2018-06-11,2018-03-12,OldSecondNationalBank-DataBreach,2996 (18 in Indiana),Indiana
1463,2018-01-12,2017-04-09,Onco360andCareMedSpecialtyPharmacy,53173 (750 in Indiana),Indiana
1464,2018-04-27,2018-04-18,OneMainFinancial-DataBreach,1 (1 in Indiana),Indiana
1465,2018-06-19,2018-06-06,OneMainFinancial-DataBreach,1 (1 in Indiana),Indiana
1466,2018-07-17,2018-07-10,OneMainFinancial-DataBreach,1 (1 in Indiana),Indiana
1467,2018-02-06,,OneMainFinancial,1253 (58 in Indiana),Indiana
1468,2018-07-26,2018-04-06,OptomaTechnologyInc-DataBreach,685 (7 in Indiana),Indiana
1469,2018-03-22,2017-10-01,Orbitz-DataBreach,382612 (2744 in Indiana),Indiana
1470,2018-08-28,2017-10-02,OrrstownBank-DataBreach,54000 (26 in Indiana),Indiana
1471,2018-09-07,2018-09-07,OrthoIndyHospital-DataBreach,2 (2 in Indiana),Indiana
1472,2018-12-07,2018-08-11,OSNationalLLC-DataBreach,57 (6 in Indiana),Indiana
1473,2018-08-03,2018-06-16,OurHoneymoonWishesInc-DataBreach,220 (3 in Indiana),Indiana
1474,2018-11-09,2018-03-06,OurPieceofthePie-DataBreach,1836 (2 in Indiana),Indiana
1475,2018-11-01,2018-07-01,OXO-DataBreach,3242 (41 in Indiana),Indiana
1476,2018-02-14,2018-01-22,PACCARInc.,251 (2 in Indiana),Indiana
1477,2018-06-28,2018-01-12,PacificManagementIncandNewFrontierManagementCorp-DataBreach,1251 (7 in Indiana),Indiana
1478,2018-02-05,2017-12-22,"PARElecrticalContractors,Inc.",25500 (355 in Indiana),Indiana
1479,2018-07-27,2018-07-14,ParadigmEquitiesInc-DataBreach,1131 (1 in Indiana),Indiana
1480,,2018-08-01,ParkviewRegionalMedicalCenter-DataBreach,1 (1 in Indiana),Indiana
1481,2018-03-02,2018-02-14,ParkwayCorporation,589 (1 in Indiana),Indiana
1482,2018-09-12,2018-02-09,PeacefulValleyFarmSupply-DataBreach,20084 (234 in Indiana),Indiana
1483,2018-01-16,2017-10-12,PensionFundoftheChristianChurch,20996 (1954 in Indiana),Indiana
1484,2018-01-26,2017-12-19,PentairAquaticEcoSystemsInc.,239 (2 in Indiana),Indiana
1485,2018-11-16,2017-10-15,PentegraServicesInc-DataBreach,301 (1 in Indiana),Indiana
1486,2018-06-29,2018-05-04,PerfectCircleCreditUnion-DataBreach,105 (62 in Indiana),Indiana
1487,2018-09-19,,PerformanceFoodGroupInc-DataBreach,9142 (1071 in Indiana),Indiana
1488,2018-02-13,2017-07-07,Perry&AssociatesCPA'sA.C.,2450 (3 in Indiana),Indiana
1489,,,PerryCountyMemorialHospital-DataBreach,Unknown (Unknown in Indiana),Indiana
1490,2018-04-20,2018-01-31,PershingLLC-DataBreach,86 (1 in Indiana),Indiana
1491,2018-04-11,2018-02-20,PF@ComInc-DataBreach,4423 (49 in Indiana),Indiana
1492,2018-11-13,2018-07-06,PharmacyTimesOfficeofContinuingProfessionalEducationLLC-DataBreach,128211 (883 in Indiana),Indiana
1493,2018-07-17,2018-06-29,PhysiciansHomeCare-DataBreach,1 (1 in Indiana),Indiana
1494,2018-05-21,2018-03-20,PinnacleAdvisoryGroupInc-DataBreach,1706 (107 in Indiana),Indiana
1495,2018-07-16,2018-02-21,PinnacleTrailerSalesInc-DataBreach,1215 (1 in Indiana),Indiana
1496,2018-06-04,2018-03-15,PLAEInc-DataBreach,9627 (156 in Indiana),Indiana
1497,2018-09-12,2018-07-17,PlantTherapy-DataBreach,2043 (26 in Indiana),Indiana
1498,2018-07-13,2018-03-29,PlantTherapy-DataBreach,13927 (417 in Indiana),Indiana
1499,2018-07-16,2018-03-19,PlatinumPartnersCreditOpportunitiesMasterFundLP-DataBreach,77 (2 in Indiana),Indiana
1500,2017-12-06,2017-09-06,PleasantSolutions-DataBreach,134 (1 in Indiana),Indiana
1501,2018-03-05,2018-06-20,PreferredHotels&Resorts,9182 (40 in Indiana),Indiana
1502,2018-04-19,2018-01-17,PremierFixturesLLC-DataBreach,855 (3 in Indiana),Indiana
1503,2018-03-15,2017-04-01,Presti&Naegele-DataBreach,2079 (4 in Indiana),Indiana
1504,2018-03-14,2018-03-09,PrincipalLifeInsuranceCompany-SecurityBreach,6 (6 in Indiana),Indiana
1505,2018-11-05,2018-10-30,PrincipalLifeInsuranceCompany-SecurityBreach,1077 (1 in Indiana),Indiana
1506,2018-05-25,2018-01-01,PrintingCenterUSAcom-DataBreach,Unknown (40 in Indiana),Indiana
1507,2018-03-09,2012-07-01,ProAssuranceIndemnityCompanyInc,45 (45 in Indiana),Indiana
1508,2016-06-18,2016-05-30,ProfessionalGolfBallServicesLTD-DataBreach,2126 (31 in Indiana),Indiana
1509,2018-10-04,2017-03-09,ProfessionalPublicationsInc-DataBreach,1162 (8 in Indiana),Indiana
1510,2018-02-02,2018-02-01,ProSightSpecialtyInsurance,5 (1 in Indiana),Indiana
1511,2018-02-02,2018-02-01,ProSightSpecialtyInsurance,5 (1 in Indiana),Indiana
1512,2018-11-26,2018-10-03,ProsperMarketplaceInc-DataBreach,3115 (41 in Indiana),Indiana
1513,2018-10-11,2018-09-21,PrudentialInsuranceCompanyofAmerica-DataBreach,1637 (16 in Indiana),Indiana
1514,2018-04-23,2018-03-29,PrudentialInsuranceCompanyofAmerica-DataBreach,1 (1 in Indiana),Indiana
1515,2018-03-09,2018-01-19,PrudentialInsuranceCompanyofAmerica-DataBreach,1 (1 in Indiana),Indiana
1516,2018-03-14,2018-01-22,PrudentialInsuranceCompanyofAmerica-DataBreach,1 (1 in Indiana),Indiana
1517,2018-01-31,,PsychiatricSpecialists,2 (2 in Indiana),Indiana
1518,2018-05-25,2018-03-15,PurdueUniversity-DataBreach,110 (110 in Indiana),Indiana
1519,,,PurdueUniversity-DataBreach,Unknown (Unknown in Indiana),Indiana
1520,2018-07-13,2018-05-17,PurdueUniversity-DataBreach,26598 (26553 in Indiana),Indiana
1521,2018-10-18,2018-05-30,QuadAssocLLC-DataBreach,3855 (3548 in Indiana),Indiana
1522,2018-06-06,2018-01-11,QualifiedPlansLLC-DataBreach,10878 (258 in Indiana),Indiana
1523,2018-03-03,2018-03-02,QuantaTechnologyLLC,55 (1 in Indiana),Indiana
1524,2018-09-28,2017-11-10,QuestNutrition-DataBreach,1552 (7 in Indiana),Indiana
1525,2018-03-21,2018-01-23,RMChin&AssociatesInc-DataBreach,71 (1 in Indiana),Indiana
1526,2018-11-20,2018-05-01,RRBowkerLLC-DataBreach,18578 (228 in Indiana),Indiana
1527,2018-04-30,2017-11-29,RailEuropeNorthAmericaInc-DataBreach,18785 (173 in Indiana),Indiana
1528,2018-05-11,2017-06-15,RailEuropeSAS-DataBreach,3714 (26 in Indiana),Indiana
1529,2018-11-12,2018-10-03,RainforestAllianceHoldingInc-DataBreach,24 (1 in Indiana),Indiana
1530,2018-04-24,2018-03-18,RamyBrookLLC-DataBreach,328 (2 in Indiana),Indiana
1531,2018-01-31,2017-10-03,RBCRoyalBank,66000 (2 in Indiana),Indiana
1532,2018-08-08,,RBCWealthManagement-DataBreach,Unknown (2 in Indiana),Indiana
1533,2018-05-16,,RBCWealthManagement-DataBreach,Unknown (1 in Indiana),Indiana
1534,2018-01-05,2015-04-23,"Rea.deemingBeauty,Inc.d/b/abeautyblender",18133 (201 in Indiana),Indiana
1535,2018-08-22,2018-02-28,RedhorseCorporation-DataBreach,73 (1 in Indiana),Indiana
1536,2018-09-19,2018-09-10,REDICOManagementInconbehalfofAmericanHouse-DataBreach,3852 (4 in Indiana),Indiana
1537,2018-10-30,2018-07-09,ReidHealth-DataBreach,1 (1 in Indiana),Indiana
1538,2018-03-20,2017-12-21,REMIndianaInc-DataBreach,7520 (4 in Indiana),Indiana
1539,2018-03-02,2018-02-01,RemingtonHotelsLLC,313 (1 in Indiana),Indiana
1540,2018-02-01,2018-01-17,"RemoteDBAExperts,LLC",281 (2 in Indiana),Indiana
1541,2018-10-18,2018-06-05,RenaissancePhilanthropicSolutionsGroup-DataBreach,33663 (807 in Indiana),Indiana
1542,2018-10-30,2018-02-22,ResidentialCareXIIILLCdbaAsterPlace-DataBreach,73 (73 in Indiana),Indiana
1543,2018-06-21,2017-09-19,RevUpGroupLLCDBARevUpSports-DataBreach,3576 (89 in Indiana),Indiana
1544,2018-09-05,2017-09-29,RichardOwenNurseryInc-DataBreach,12397 (297 in Indiana),Indiana
1545,2018-06-07,2018-04-08,RISEWisconsinInc-DataBreach,6470 (4 in Indiana),Indiana
1546,,,RiverCityMediaLLC-DataBreach,Unknown (Unknown in Indiana),Indiana
1547,2018-04-10,2018-03-27,RiverMendHealthLLC-DataBreach,563 (1 in Indiana),Indiana
1548,2018-03-02,2017-12-06,RMHFranchiseHoldingsInc,Unknown (Unknown in Indiana),Indiana
1549,2018-09-10,2018-04-01,RoadrunnerTransportationSystemsInc-DataBreach,9821 (775 in Indiana),Indiana
1550,2018-12-07,2018-09-27,RobertGrahamDesignsLLC-DataBreach,Unknown (12 in Indiana),Indiana
1551,2018-03-26,2018-02-15,RoosLangan&McKendreeLLP-DataBreach,149 (4 in Indiana),Indiana
1552,2018-01-19,2016-05-29,RosewoodHotelGroup-DataBreach,Unknown (41 in Indiana),Indiana
1553,2018-03-13,2017-06-01,RotaryInternational,1775 (14 in Indiana),Indiana
1554,,2018-11-26,RoundPointMortgageServicingCorporation-Data Breach,75 (3 in Indiana),Indiana
1555,,,RushMemorialHospital-DataBreach,Unknown (Unknown in Indiana),Indiana
1556,2018-11-14,2018-05-15,SABICInnovativePlastics-DataBreach,106 (3 in Indiana),Indiana
1557,2018-01-24,2017-11-26,SaginawValleyStateUniversity,4949 (24 in Indiana),Indiana
1558,,,SaksFifthAvenue-DataBreach,Unknown (Unknown in Indiana),Indiana
1559,2018-07-13,2018-07-11,SalinBankandTrustCompany-DataBreach,8 (8 in Indiana),Indiana
1560,2018-08-27,2018-04-09,SalterLabs-DataBreach,584 (25 in Indiana),Indiana
1561,2018-07-13,2018-05-09,SanfordHeislerSharp-DataBreach,413 (1 in Indiana),Indiana
1562,2018-09-07,2018-07-30,SanibelCaptivaTrustCompany-DataBreach,605 (7 in Indiana),Indiana
1563,2018-02-22,2017-12-17,"SantaCruzBioTechnology,Inc.",2657 (1 in Indiana),Indiana
1564,2018-07-11,2018-07-10,SchlageLockCompanyLLC-DataBreach,18 (6 in Indiana),Indiana
1565,2018-01-26,2018-01-24,Scoppechio,204 (27 in Indiana),Indiana
1566,2018-10-19,2018-09-14,Scrapbook.comLLC-DataBreach,728 (14 in Indiana),Indiana
1567,2018-03-02,2018-02-12,SDIInc,409 (2 in Indiana),Indiana
1568,2018-04-25,2017-09-27,SearsHoldingsManagementCorporation-DataBreach,95547 (1634 in Indiana),Indiana
1569,2018-09-11,2018-05-04,SecurityNationalMortgageCompany-DataBreach,1631 (13 in Indiana),Indiana
1570,,2018-05-15,SecurusTechnologiesInc-DataBreach,1700 (65 in Indiana),Indiana
1571,2018-05-25,2017-11-13,SEIULocal32BJ-DataBreach,161040 (13 in Indiana),Indiana
1572,2018-04-13,2018-04-06,SekisuiDiagnostics-DataBreach,194 (1 in Indiana),Indiana
1573,2018-12-07,2018-11-07,SeniorLifestyleCorporation-DataBreach,16755 (23 in Indiana),Indiana
1574,2018-06-06,2017-02-01,SentryInsuranceaMutualCompany-DataBreach,20 (1 in Indiana),Indiana
1575,2018-01-25,2007-05-30,SESEnvironmental,14 (14 in Indiana),Indiana
1576,2018-05-29,,Seterus-DataBreach,Unknown (Unknown in Indiana),Indiana
1577,,,SFCKrumrie/ReadinessNCO,Unknown (Unknown in Indiana),Indiana
1578,2018-06-29,2018-02-26,SGSNorthAmericaInc-DataBreach,383 (4 in Indiana),Indiana
1579,2018-06-28,2018-06-06,SheetMetalWorkersNationalPensionFund-DataBreach,940 (43 in Indiana),Indiana
1580,2018-09-21,2018-06-01,SHEIN-DataBreach,6420000 (10000 in Indiana),Indiana
1581,2018-10-03,2018-07-14,ShoeStationInc-DataBreach,216 (2 in Indiana),Indiana
1582,2018-06-11,2018-04-08,shopPOPdisplaysInc-DataBreach,1690 (26 in Indiana),Indiana
1583,2018-03-27,2018-01-11,ShutterflyInc-DataBreach,9428 (13 in Indiana),Indiana
1584,2018-08-28,2018-06-12,SierraNevadaBrewingCo-DataBreach,630 (8 in Indiana),Indiana
1585,2018-08-30,2018-08-16,SignatorInvestorsInc-DataBreach,21 (1 in Indiana),Indiana
1586,2018-04-24,2018-02-02,SignatureSystemsGroupLLC-DataBreach,228 (2 in Indiana),Indiana
1587,2018-11-09,,SimeonSPatestas-DataBreach,353 (1 in Indiana),Indiana
1588,2018-11-05,2018-10-05,SirchieAcquisitionCompany-DataBreach,95 (1 in Indiana),Indiana
1589,2018-07-09,2018-05-01,SJGorowitzAccountingandTaxServicesPC-DataBreach,513 (1 in Indiana),Indiana
1590,2018-12-21,2018-12-10,SkillsoftCorporation-DataBreach,325 (3 in Indiana),Indiana
1591,2018-11-16,2018-10-30,SmithandNephew-DataBreach,22 (1 in Indiana),Indiana
1592,2018-10-01,2018-04-01,SniderFleetSolutions-DataBreach,2566 (11 in Indiana),Indiana
1593,2018-06-25,2018-01-18,SoleraNationalBank-DataBreach,858 (12 in Indiana),Indiana
1594,2018-06-28,2018-02-05,SOSIntlLLC-DataBreach,172 (13 in Indiana),Indiana
1595,2017-10-31,2017-06-04,SouthernNationalBancorpofVirginiad/b/aSonabank,24999 (8 in Indiana),Indiana
1596,2018-05-29,2017-01-01,SouthportFamilyandSportsMedicine-DataBreach,15 (15 in Indiana),Indiana
1597,2018-04-20,2017-10-01,SouthwestAirlinesCo-DataBreach,36485 (618 in Indiana),Indiana
1598,2018-05-13,2018-02-09,SPIndustriesInc-DataBreach,495 (1 in Indiana),Indiana
1599,2018-12-14,2018-07-27,SpringstoneFinancial-DataBreach,47721 (99 in Indiana),Indiana
1600,2018-03-30,2018-03-02,SprintCorporation-DataBreach,29 (2 in Indiana),Indiana
1601,2018-03-12,2018-01-31,SquirePattonBoggs(US)LLP-DataBreach,256 (1 in Indiana),Indiana
1602,2018-05-31,2018-02-15,StMarysHealthIncdbaStVincentEvansville-DataBreach,5649 (3010 in Indiana),Indiana
1603,2018-11-30,2018-10-19,StMarysMedicalGroupLLCdbaStVincentEvansvilleMedicalGroup-DataBreach,1 (1 in Indiana),Indiana
1604,,,StVincentDunnHospital-DataBreach,Unknown (Unknown in Indiana),Indiana
1605,2018-01-10,2017-12-15,State o. Indiana,1 (1 in Indiana),Indiana
1606,,,StVincentWomensHospital-DataBreach,2 (2 in Indiana),Indiana
1607,2018-04-27,2017-12-12,StaffQuick-DataBreach,108 (23 in Indiana),Indiana
1608,2018-05-10,2017-01-30,StandardInsuranceCompany-DataBreach,89 (2 in Indiana),Indiana
1609,2018-10-26,2018-06-04,StarTitlePartnersofPalmHarborLLC-DataBreach,2059 (11 in Indiana),Indiana
1610,2018-09-21,2018-09-13,StataCorpLLC-DataBreach,1680 (8 in Indiana),Indiana
1611,2018-06-07,2017-09-09,SteinEriksenLodgeHotel-DataBreach,1992 (2 in Indiana),Indiana
1612,2018-11-13,2017-12-28,SteinMartInc-DataBreach,108322 (2240 in Indiana),Indiana
1613,2018-10-22,2018-04-11,STLInternationalIncdbaTeeter-DataBreach,12561 (273 in Indiana),Indiana
1614,2017-12-20,2017-12-12,STPNuclearOperatingCompany,844 (Unknown in Indiana),Indiana
1615,2018-04-19,2015-04-20,StrategicAnalysisInc-DataBreach,2074 (15 in Indiana),Indiana
1616,2018-07-27,2018-03-01,SunspireHealth-DataBreach,6737 (3 in Indiana),Indiana
1617,,,SunTrustBanksInc-DataBreach,1500000 (342 in Indiana),Indiana
1618,2018-07-26,2018-04-24,SVAMInternationalInc-DataBreach,193 (1 in Indiana),Indiana
1619,2018-03-06,2018-01-15,SwensonSaurerGerberAndersonandCo.Ltd.,1664 (1 in Indiana),Indiana
1620,2018-12-03,2017-12-28,SynchronyFinancial-DataBreach,28732 (615 in Indiana),Indiana
1621,2018-06-08,2018-05-07,SystemeSoftwareInc-DataBreach,17618 (111 in Indiana),Indiana
1622,2018-05-10,2017-07-14,TacoJohnsofIowa-DataBreach,6012 (1 in Indiana),Indiana
1623,2018-01-09,2017-10-16,"talentReef,Inc.",11603 (30 in Indiana),Indiana
1624,2018-10-17,2018-05-08,TallahasseeMemorialHealthcareInc-DataBreach,5988 (1 in Indiana),Indiana
1625,,,Target-DataBreach,Unknown (Unknown in Indiana),Indiana
1626,2018-05-30,,TargetDirectMarketingLLC-DataBreach,439 (2 in Indiana),Indiana
1627,2018-05-10,2018-04-11,TaskRabbitInc-DataBreach,"3,030,925, (10159 in Indiana)",Indiana
1628,2018-04-04,2018-01-31,TaylorUniversity-DataBreach,9 (9 in Indiana),Indiana
1629,2018-08-03,2017-03-05,TCMBankNA-DataBreach,9549 (257 in Indiana),Indiana
1630,2018-03-29,2017-11-29,TealBecker&ChiaramonteCPAsPC-DataBreach,5576 (3 in Indiana),Indiana
1631,2018-09-21,2017-02-22,"Tech Rabbit, LLC",54637 (825 in Indiana),Indiana
1632,,,TeenSafe-DataBreach,Unknown (Unknown in Indiana),Indiana
1633,2018-04-04,2018-02-08,TelestreamLLC-DataBreach,262 (3 in Indiana),Indiana
1634,2018-05-31,2018-02-09,TemeculaMotorsportsInc-DataBreach,1456 (17 in Indiana),Indiana
1635,2018-04-16,2017-08-01,TempTationsHomeLLCdbaTaraatHome-DataBreach,7028 (113 in Indiana),Indiana
1636,2018-04-25,2018-04-10,TempurSealyInternationalInc-DataBreach,17 (1 in Indiana),Indiana
1637,2018-09-18,2017-11-20,TheAffiliatedGroup-DataBreach,6201 (131 in Indiana),Indiana
1638,2018-04-17,2017-11-08,TheBoardofCommissionersoftheCountyofLaGrange-DataBreach,23 (23 in Indiana),Indiana
1639,2018-11-12,2018-08-11,TheCityofBakersfield-DataBreach,2180 (2 in Indiana),Indiana
1640,2018-07-16,2017-07-01,TheCityofBozemanMontana-DataBreach,2962 (1 in Indiana),Indiana
1641,2018-01-22,,TheCocaColaCompany,2181 (2 in Indiana),Indiana
1642,2018-05-21,2015-08-07,TheCocaColaCompany,7967 (21 in Indiana),Indiana
1643,2018-08-21,2018-08-13,TheConlanCompany-DataBreach,597 (1 in Indiana),Indiana
1644,2018-07-11,2018-05-29,TheFruitfulYieldInc-DataBreach,632 (14 in Indiana),Indiana
1645,2018-03-26,2017-12-06,TheHanoverInsuranceCompany-DataBreach,15422 (174 in Indiana),Indiana
1646,2018-07-05,2018-03-14,"The Information and Referral Federation of Los Angeles County, Inc. dba 211 LA County",26678 (42 in Indiana),Indiana
1647,2018-07-06,2018-02-14,TheInternationalMissionBoard-DataBreach,187749 (986 in Indiana),Indiana
1648,2018-02-27,,TheKraftHeinzCompany,177 (1 in Indiana),Indiana
1649,2018-04-02,2018-01-29,TheLincolnNationalLifeInsuranceCompany-DataBreach,5876 (644 in Indiana),Indiana
1650,2018-01-03,2017-10-19,TheMid-AtlanticCarpenters'TrainingCenters,2700 (5 in Indiana),Indiana
1651,2018-01-25,2017-11-17,TheNationalRegistryofEmergencyMedicalTechnicians,843 (1 in Indiana),Indiana
1652,2018-04-30,2017-09-27,TheNationalRestaurantAssociation-DataBreach,1595 (31 in Indiana),Indiana
1653,2018-10-10,2018-08-23,TheNorthwesternMutualLifeInsuranceCompany-DataBreach,2604 (1 in Indiana),Indiana
1654,2018-05-03,2017-10-11,ThePleasureChestLTD-DataBreach,222 (3 in Indiana),Indiana
1655,2018-02-28,2017-09-22,TheRenaissanceCompanies,33 (13 in Indiana),Indiana
1656,2018-11-20,,TheTaxSpecialists-DataBreach,1188 (2 in Indiana),Indiana
1657,2018-11-26,2018-05-17,TheTownofChristiansburg-DataBreach,909 (1 in Indiana),Indiana
1658,2018-03-06,2018-02-14,TheVanguardGroupInc,1 (1 in Indiana),Indiana
1659,2018-07-17,,TheVariableAnnuityLifeInsuranceCompany-DataBreach,13 (1 in Indiana),Indiana
1660,2018-03-30,,ThermoFisherScientificInc-DataBreach,2900 (29 in Indiana),Indiana
1661,2018-06-22,2018-02-15,ThomasChandlerThomas&HinshawLLP-DataBreach,3406 (5 in Indiana),Indiana
1662,2018-08-23,2018-07-19,TipmontREMC-DataBreach,8 (8 in Indiana),Indiana
1663,2018-09-07,2018-05-19,TitleNine-DataBreach,765 (9 in Indiana),Indiana
1664,2018-08-26,2018-04-13,TKCHoldingsInc-DataBreach,2128 (6 in Indiana),Indiana
1665,2018-02-28,2014-03-01,TOA(USA)Inc,467 (467 in Indiana),Indiana
1666,2018-07-11,2017-11-10,TommieCopperInc-DataBreach,28437 (548 in Indiana),Indiana
1667,2018-06-11,2018-03-02,TotalPhasseInc-DataBreach,734 (3 in Indiana),Indiana
1668,2018-10-01,2018-08-15,ToyotaIndustriesNorthAmericaInc-DataBreach,19320 (6630 in Indiana),Indiana
1669,2018-07-24,2017-10-13,TradeMotion-DataBreach,81782 (1036 in Indiana),Indiana
1670,2018-03-27,,TranDotComSolutions-DataBreach,14 (1 in Indiana),Indiana
1671,2018-06-01,2017-03-01,Transamerica,226881 (7770 in Indiana),Indiana
1672,2018-11-02,2018-08-22,TransamericaRetirementSolutionsLLC-DataBreach,10636 (357 in Indiana),Indiana
1673,2018-10-08,2017-07-26,TransUnionLLC-DataBreach,242 (16 in Indiana),Indiana
1674,2018-10-23,2017-02-22,TransUnionLLC-DataBreach,7492 (57 in Indiana),Indiana
1675,2018-10-25,2018-08-13,"TravisMathew, LLC",5754 (108 in Indiana),Indiana
1676,2018-08-09,2018-07-27,TrinityCollegeofNursingandHealthSciences-DataBreach,137 (1 in Indiana),Indiana
1677,,,"TrueNetCommunications,Inc.",Unknown (Unknown in Indiana),Indiana
1678,2018-06-29,2018-04-25,TrustCompanyofIllinoisTCWealthPartners-DataBreach,2559 (39 in Indiana),Indiana
1679,2018-12-10,2018-09-13,TurnerConstructionCompany-DataBreach,929 (2 in Indiana),Indiana
1680,2018-06-21,2017-09-24,TuskegeeUniversity-DataBreach,14283 (168 in Indiana),Indiana
1681,2018-01-22,2017-10-30,"Tx:TeamRehab,Inc.",6 (2 in Indiana),Indiana
1682,2018-12-19,2018-05-19,USFacilities-DataBreach,799 (7 in Indiana),Indiana
