,Data Stolen,Dates of Breach,Details,Name of Entity,Notice Provided to Consumers,Who's Affected,State Reported
77,Name of provider,"July 29 - August 2, 2016","On Wednesday August 3, 2016, UW Health became aware that satisfaction surveys were mistakenly sent to the parents or legal guardians of patients, rather than directly to the patient. Not all patients were affected, only those who recently visited a facility or clinic and received a letter.UW Health apologizes for the error and is providing training to all staff involved to prevent future incidents.UW Health has established a hotline at 1-844-607-1694, to answer additional questions.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",UW Health,"September 30, 2016","6,923 Wisconsin residents who were patients of UW Health and recently received care at a UW clinic or facility.",Wisconsin
78,"Names, email addresses, telephone numbers, birth dates, encrypted passwords and security questions.",Late 2014,"A recent investigation by Yahoo! Inc. confirmed that user account information was stolen from the company's network in late 2014 by what it believes is a state-sponsored actor. The account information may have included names, email addresses, telephone numbers, and dates of birth, passwords and, in some cases, encrypted or unencrypted security questions and answers. The incident did not impact unprotected passwords, payment card data or bank account information.Yahoo is notifying potentially affected users, and has taken steps to secure their accounts. There is an ongoing investigation and Yahoo is working closely with law enforcement. Additional information is available on the Yahoo Security Issue FAQs page at https://yahoo.com/security-update.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Yahoo! Inc.,"September 22, 2016",An unknown number of Wisconsin residents who were Yahoo users during the time of the breach.,Wisconsin
79,"Names, addresses, driver's license numbers, dates of birth and last four digits of Social Security niumbers.","August 22, 2016","On Monday August 22, 2016, Active Network, a vendor system that processes online sales of hunting and fishing licenses in Idaho, Oregon and Washington confirmed unauthorized and unlawful attempts to access online hunting and fishing licensing applications for license buyers. The personal information that may have been compromised includes names, addresses, driver’s license numbers, date of birth and the last four digits of Social Security numbers. No credit card or other financial data was exposed.The U.S. Department of Homeland Security and the FBI are investigating the hack into Active Network’s processing system. Active Network is offering two years of free identity protection and restoration services.Active Network has established a website for consumers to check if their personal information was compromised at https://activeoutdoors.allclearid.com as well as a toll free number at 1-855-260-2772, to answer additional questions.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Active Network,"September 19, 2016","An unknown number of Wisconsin residents who purchased hunting and/or fishing licenses through the Active Network online license system of the Idaho, Oregon and Washington Departments of Fish and Wildlife.",Wisconsin
80,"Names, addresses, Social Security numbers, dates of birth and health information.","July 5, 2016","On July 5, 2016, the Medical College of Wisconsin noticed unusual activity associated with an employee’s email account. An unauthorized third-party accessed an email account containing patient information including full names, dates of birth, home addresses, medical record numbers, codes or notes related to diagnosis or treatment provided and the social security numbers of two patients. The incident did not impact the security of any other MCW email accounts, networks or servers.Upon learning of the incident, the Medical College of Wisconsin took steps to prevent further access including hiring a computer forensic firm to investigate abnormal activity, ongoing updates to its system security and firewalls and conducting security awareness for staff.Medical College of Wisconsin has established a call center for patients at 1-844-801-5966, to answer additional questions.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Medical College of Wisconsin,"September 2, 2016","2,865 Wisconsin residents who were patients of the Medical College of Wisconsin during the time of the breach.",Wisconsin
81,"Name, payment card number, security code and expiration date.","January 2, 2016 - July 17, 2016","On Thursday, August 11, 2016, Eddie Bauer confirmed unauthorized access of the point of sale system at Eddie Bauer retail stores. The personal information that may have been compromised includes names, payment card number, security code and expiration date. Payment card information used for online purchases at eddiebauer.com was not affected.Eddie Bauer immediately initiated an investigation with digital forensic experts and is working closely with the FBI to identify the perpetrators. Eddie Bauer has notified the payment card networks and has enhanced the security of their point of sale system. Eddie Bauer will provide free credit monitoring and identity consultation services for 12 months.Eddie Bauer has established a hotline at 1-855-294-2549, to answer additional questions.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Eddie Bauer,"August 18, 2016",An unknown number of Wisconsin residents who made a point of sale purchase at an Eddie Bauer retail store during the time of the breach.,Wisconsin
82,"Name, Social Security number, compensation and tax withholding information.","July 25, 2016","On July 25, 2016 Precision Pipeline LLC was the victim of an email phishing attack which resulted in the disclosure of first and last names, social security number and tax withholding information.Upon learning of the incident, Precision Pipeline LLC immediately notified the FBI and the Criminal Investigation Division of the IRS. Precision Pipeline LLC is currently cooperating with the FBI’s and IRS’s ongoing investigations and has taken steps to prevent future incidents. Precision Pipeline LLC is offering two years of credit monitoring and identity protection services through Experian’s ProtectMyID alert.Precision Pipeline has established a confidential inquiry line at (888) 522-8930 to answer additional questions.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Precision Pipeline LLC,"August 15, 2016",258 Wisconsin residents.,Wisconsin
83,"Credit and debit card data: cardholder name, card number, expiration date and CVV.",Between January 31st and June 2nd,"On June 2nd Noodles & Company discovered suspicious activity on its computer system indicating a potential breach of guests’ debit and credit card information used at certain Noodles & Company locations. Upon learning of the incident, Noodles & Company began working with a third party forensic investigator and the Unites States Secret Service to determine the source of the breach, contain the incident and remove malware from the system. Guests can now safely use their credit and debit cards at all Noodles & Company locations.Noodles & Company has set up a dedicated assistance line at 1-888-849-1067, to answer additional questions. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@wi.gov.",Noodles & Company,"June 28, 2016",An unknown number of Wisconsin residents who made purchases with their debit or credit card at Noodles & Company during the time of the breach.,Wisconsin
84,"Name, address, Social Security number, compensation figures and dates of birth.","April 26, 2016","On April 26, 2016 a Milwaukee Bucks employee was the target of an isolated email phishing scam. An unauthorized individual impersonated the president of the Milwaukee Bucks, requesting the personal information of employees. As a result of the cyber scam, the personal information of current and former employees of the Milwaukee Bucks, who received a W-2 for 2015, was compromised. Upon learning of the incident, the Milwaukee Bucks immediately notified the FBI and the IRS and launched an aggressive and ongoing investigation with outside subject matter experts. The Milwaukee Bucks are offering three years of credit monitoring and non-expiring identity restoration services through All Clear ID.The Milwaukee Bucks have established a third party support hotline through All Clear ID at (855) 431-2163, to answer additional questions. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Milwaukee Bucks,"May 25, 2016",604 current and former employees of the Milwaukee Bucks who received a W-2 for 2015.,Wisconsin
85,"W-2 information including names, addresses, Social Security numbers, income and taxes withheld.","April 29, 2016","On Friday, April 29, 2016, the Brunswick Corporation fell victim to an email phishing incident that resulted in the potential unauthorized disclosure of 2015 W-2 information of a large number of current and former employees. A Brunswick employee responded to what was believed to be a legitimate request from management, and provided W-2 data to an unauthorized individual. As a result of the cyber scam, the personal information of current and former employees of Brunswick Corporation, who received a W-2 for 2015, was compromised. Brunswick Corporation has determined that none of their systems were breached and no additional information was accessed. Brunswick Corporation is notifying affected individuals and is working with the IRS as well as other appropriate agencies. Additionally, the company is conducting an ongoing investigation to prevent future incidents. Brunswick Corporation is offering free credit monitoring and reporting, identity theft assistance services and identity theft insurance to every affected individual. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","Brunswick Corporation, DBA Mercury Marine","May 2, 2016",An unknown number of current and former employees of Mercury Marine.,Wisconsin
86,"Names, dental patient identification number, appointment dates, dental insurance identification number.","Between February 7 and February 17, 2016","On February 17, 2016 a flash drive containing limited dental patient information was stolen from Oneida Health Center dental offices on the Oneida Reservation.The personal information that was compromised was extremely limited, and there is no evidence to suggest that it was disclosed for inappropriate purposes. Upon learning of the incident, the Oneida Nation immediately informed law enforcement. Police and the Oneida Nation are conducting an ongoing investigation. The flash drive has not yet been recovered. Anyone affected by the security incident may contact Dave Larson, Director of Ancillary Services at (920) 869-2711 or email dlarson@oneidanation.org, to answer additional questions. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Oneida Health Center,"April 14, 2016","2700 patients who were seen at Oneida Health Care Center Between February 7 and February 17, 2016.",Wisconsin
87,"Names, Social Security numbers, addresses, earnings and withholding information.","April 16, 2016","On April 16, 2016, a Michels employee was the target of an isolated email phishing scam. An unauthorized individual impersonated a Michels executive, requesting the personal information of employees. As a result of the cyber scam, the personal information of current and former employees of Michels Corporation who received a W-2 for 2015 was compromised. Michels has determined that none of their systems were breached and no additional information was accessed. Upon learning of the incident, Michels Corporation notified state and federal law enforcement and is conducting an ongoing investigation with outside subject matter experts. Michels Corporation has implemented additional security measures to prevent any future breaches. Michels Corporation is offering free identity protection services to employees for two years. Michels Corporation has created a Michels Employee Information Center at (888) 871-2201, to answer additional questions. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Michels Corporation,"April 25, 2016","1,911 current and former employees of Michels Corporation who received a W-2 for 2015.",Wisconsin
88,Credit card information,"Between January 22, 2014 and January 26, 2016","Schwaab, Inc. recently discovered that an unauthorized individual accessed their credit card system. Customer credit card information may have been compromised as a result of the breach. During the time period of the breach, all credit card information was stored on an encrypted server that was protected by security protocols. There is no evidence that any specific information was accessed or stolen. Since learning of the incident, Schwaab Inc. has implemented additional measures to further protect the privacy of customer information.Schwaab Inc. is conducting an ongoing forensic investigation with support of law enforcement. Schwaab Inc. has established an assistance line at 1-844-608-3819 or by email at customers@discountrubberstamps.com, to answer additional questions. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","Schwaab, Inc.","April 14, 2016","1,729 Wisconsin residents who used their credit cards to make purchases during the time of the breach, were potentially affected.",Wisconsin
89,"Names, social security numbers, insurance information physician’s name, diagnosis and treatment information.","October 3, 2015","On November 13, 2015 the FBI informed 21st Century Oncology that the personal information of their patients was illegally obtained by an unauthorized third party. The intruder gained access to the database that may have included the names, social security numbers, physician’s name, diagnosis, treatment information and insurance information of patients. 21st Century Oncology delayed public notification of the incident so as not to interfere with the FBI’s ongoing investigation.Upon learning of the incident, 21st Century Oncology hired a leading forensic firm for investigative support, system analysis and to bolster security. 21st Century Oncology is offering free one-year credit protection services.21st Century Oncology has established a call center for patients at 1-866-446-1405, to answer additional questions.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",21st Century Oncology,"March 4, 2016","1,785 Wisconsin residents who were patients of 21st Century Oncology during the time of the breach.",Wisconsin
90,"Names, addresses and Social Security numbers.","February 14, 2016","The Ozaukee County Sheriff’s office reported a data security breach to the Ozaukee County payroll and tax portal software ""Greenshades."" The Greenshades login password format, containing employee credentials, was compromised. Suspicious IP logins were identified by Greenshades, allowing access to employees W2s and/or 1095’s. Current investigation has determined that the data breach did not take place internally or locally, and it does not appear that the county network has been breached.The incident was initially detected from employees reporting fraudulent tax returns filed under their social security number.Ozaukee County is currently working with IT security consultants and the Sheriff’s department to enhance security settings in Greenshades and stop fraudulent access.Ozaukee County is working with their insurer, County Mutual, as well as an identity protection agency to provide additional coverage under cybersecurity insurance to aid in the investigation and recovery from the incident. If you receive any indication that your personal information was compromised, please contact Lieutenant Marshall Hermann at mhermann@co.ozaukee.wi.us. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Greenshades/Ozaukee County,"March 9, 2016",210 Wisconsin residents and their family members who are employees of Ozaukee County and accessed their Greenshades accounts during the time of the breach.,Wisconsin
91,"Names, credit and debit card numbers, expiration dates and card verification codes.",Between May 18th and November 9th,"Kalahari Resorts recently detected a breach that may have compromised the personal information of their customers. Between mid-May and early November an intruder installed malicious software designed to capture data from certain credit and debit cards. This malicious software potentially allowed access to personal information including credit and debit card data; card number, cardholder name, card’s expiration, and card verification code.Upon learning of the incident, the business secured a highly regarded forensic firm to conduct a complete system analysis. The investigation is ongoing.Kalahari Resorts has set up a hotline at 1-866-691-1861, to answer additional questions. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Kalahari Resort,"December 4, 2015",An unknown number of Wisconsin residents who made purchases with their debit or credit card during the time of the breach.,Wisconsin
92,"Name, card number, expiration date, and CVV",Between March 9th and June 8th,"Wilderness Hotel and Golf Resort detected a breach that may have compromised the personal information of their customers. Between March and June of this year, unauthorized individuals installed sophisticated malware on the resort’s system used to process debit and credit cards. This malicious software potentially allowed access to personal information including names, card numbers, expiration dates, and CVV. During the investigation, the resort implemented additional security measures to prevent further unauthorized access. The resort is offering free credit monitoring services to any affected individual. Wilderness Resort has set up a hotline at 855-770-0004, to answer additional questions. Callers should use the reference number 7113111815. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Wilderness Hotel and Golf Resort,"November 23, 2015",An unknown number of Wisconsin residents who were guests at the resort and made purchases between March 9th and June 8th.,Wisconsin
93,"Name, address, card number, expiration date, and security code.",April 2015 and late September 2015,"Digital Theatre LLC detected a breach that may have compromised the personal information of their customers. Between late April and late September unauthorized individuals installed malicious software on the website hosting the service ShowTix4U. This malicious software potentially allowed access to personal information including names, addresses, card numbers, expiration dates, and security codes. The business took steps to contain the incident when it was first discovered. Digital Theatre is conducting an ongoing forensic investigation. Digital Theatre has set up a hotline at 866-981-6854 to answer additional questions. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Digital Theatre LLC DBA ShowTix4U,"October 28, 2015","5,200 Wisconsin residents who purchased tickets on the website during the time of the breach.",Wisconsin
94,"Name, Social Security number, date of birth, and driver's license","Sept. 1, 2013 to Sept. 9, 2015","On September 15, 2015, Experian detected a data breach that included personal identifying information of consumers who had a credit check for T-Mobile service.Experian’s initial investigation indicates the breach occurred between September 1, 2013, and September 16, 2015. Experian believes that records containing names, dates of birth, Social Security numbers, and driver license numbers were compromised. Experian indicates that the breach did not include their consumer credit database.Law enforcement has been notified and an investigation is ongoing.Consumers affected will be offered two years of free credit report monitoring services. Consumers should visit Experian.com/T-MobileFacts for the most up to date information. They may also call 1-866-369-0422. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Experian,"October 1, 2015",15 million consumers who had a credit check completed for T-Mobile service,Wisconsin
95,Name and debit card information,September,"Kohl’s detected a breach that may have compromised the personal information of their customers. A call center employee captured the names and debit card information of certain Kohl’s customers for unauthorized purposes. This fraudulent activity potentially allowed access to personal information including names and debit card information.Kohl’s immediately launched an investigation, terminated the employee and reported the incident to law enforcement. Additionally, Kohl’s is offering one year of free identity theft protection service to affected individuals.Kohl’s has set up a hotline at 1-800-985-6457 to answer additional questions. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Kohl's,"September 29, 2015",An unknown number of Wisconsin residents who made purchases with their debit card at Kohl’s department stores.,Wisconsin
96,"Health care records including: Name, date of birth, Social Security number, security question and answer, email address","May 7 to May 26, 2015","Medical Informatics Engineering detected a data breach that compromised some personal and health records.These records can include a consumer’s name, phone number, date of birth, mailing address, user name, security question and answer, spousal information, email address, Social Security number, health insurance policy number, and health information. Medical Informatics Engineering’s initial investigation indicates the breach started May 7, 2015.There are 35,050 Wisconsin consumers affected by this data breach.Consumers affected will be offered two years of free credit report monitoring services. A report has been filed with the FBI and an investigation is still ongoing. Consumers may find further information on http://www.mieweb.com.They may also call 1-877-322-8228 for the most up to date information.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Medical Informatics Engineering,"July 23, 2015","35,050 Wisconsin consumers",Wisconsin
97,Information on federal background checks.,Unknown,"The United States Office of Personnel Management has confirmed a second breach involving personally identifying information. This data breach was discovered through the investigation of the first data breach. The Office of Personnel Management has stated this was a separate incident.Both the FBI and the US Department of Homeland Security’s Computer Emergency Readiness Team have been notified. Office of Personnel Management’s news releases:  http://www.opm.gov/news/latest-news/announcements/ If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Office of Personnel Management,"June 15, 2015","The Office of Personnel Management stated that the breach expanded to include current, former, and prospective federal employees, and individuals for whom a federal background check was completed.",Wisconsin
98,Personnel data including personally identifiable information.,April 2015,"The United States Office of Personnel Management has confirmed a breach involving personnel data.The office has implemented new security controls, and cleared malicious software from the network.Both the FBI and the US Department of Homeland Security’s Computer Emergency Readiness Team have been notified. As they are actively investigating the breach, and the Office of Personnel Management has stated additional exposures may come to light.The Office of Personnel Management is offering free credit monitoring services for 18 months for individuals affected by the breach through CSID. Additional information will be available on http://www.csid.com/opm/ or by calling 844-222-2743.Office of Personnel Management’s news releases:  http://www.opm.gov/news/latest-news/announcements/ http://www.opm.gov/news/releases/2015/06/opm-to-notify-employees-of-cybersecurity-incident/ If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Office of Personnel Management,"June 4, 2015",Approximately 4 million current and former federal government employees.,Wisconsin
99,Copies of up to five years' worth of taxpayer filings.,February - May 2015,"The Internal Revenue Service detected a data breach that compromises five years’ worth of tax filings. The IRS believes that personal information on tax returns was compromised including social security numbers, date of birth, and bank account information.The IRS believes the hackers used information acquired from non-IRS sources to gain access to tax returns through the ""Get Transcript"" application. This application had a multi-step authentication including answering personal verification questions.The IRS will be sending a letter to all consumers whose accounts were attempted to be accessed. The IRS will also be offering free credit report monitoring services to consumers whose tax filings were accessed.An investigation is still ongoing with the Treasury Inspector General for Tax Administration and the IRS’ Criminal Investigation unit. The IRS disabled the If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Internal Revenue Service,"May 26, 2015","Approximately 100,000 consumers’ tax filings were accessed. There were 200,000 fraudulent attempts to access the tax filings.",Wisconsin
100,Payment cards,"Between March 6th and April 17th, 2015","Sally Beauty Holdings Inc. detected a breach that may have compromised the personal information of their customers. Between March 6th and April 17th, 2015, criminals used malware to infiltrate the point-of-sale system. This malicious software potentially allowed access to the payment card information of customers who used their cards at Sally Beauty stores during the time of the breach. The business took steps to contain the incident when it was first discovered. Sally Beauty Holdings Inc. is conducting an ongoing forensic investigation. Sally Beauty Holdings Inc. has set up a hotline at 1-866-234-9442 or email customerserviceinquiry@sallybeauty.com to answer additional questions. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","Sally Beauty Holdings, Inc.","May 4, 2015","41,808 Wisconsin residents who used payment cards at the affected U.S. Sally Beauty stores during this time.",Wisconsin
101,"Credit & debit card numbers, customer names, expiration dates, CVV number","September 3, 2014 - April 2, 2015","Hard Rock says that credit and debit card accounts may have been affected by a data breach. Authorities and financial institutions were notified once the company became aware of the breach.They are working with a third party security firm to investigate the matter. Hard Rock is offering 12 months of credit monitoring through ProtectMyID to individuals affected by the data breach. Consumers can visit https://www.hardrockhotel.com/statement and review the FAQ for up to date information. They can also call (888) 829-6551. Individuals should review their statements and notify their financial institutions if they see unauthorized charges. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Hard Rock Hotel & Casino in Las Vegas,"May 1, 2015","People who used credit or debit card purchases at the restaurant, bar, and retail outlets at the Hard Rock Hotel & Casino between September 3, 2014 – April 2, 2015.",Wisconsin
102,"Member names, dates of birth, email addresses, addresses, telephone numbers, Social Security numbers, member identification numbers, bank account information, and claims information, including clinical information.","May 5, 2014","On March 17, 2015, Premera Blue Cross announced it has been a victim of a sophisticated cyberattack. The intrusion was discovered on January 29, 2015 however the initial attack took place on May 5, 2014. The attackers may have gained unauthorized access to applicants and members’ information, which could include member names, dates of birth, email addresses, addresses, telephone numbers, Social Security numbers, member identification numbers, bank account information, and claims information, including clinical information going back to 2002.Premera is continuing to work with the FBI and security firm Mandiant. Letters are being mailed to those affected by the data breach beginning March 17th, 2015. The notification will include an offer of 2 years of free credit monitoring and identity theft protection services through Experian’s ProtectMyID. Consumers with questions may call 1-800-768-5817 Monday through Friday, 5:00 AM – 8:00 PM PT or visit http://premeraupdate.com/.",Premera Blue Cross,"March 17, 2015","About 11 million consumers nationwide. Applicants and members of Premera Blue Cross, Premera Blue Cross Blue Shield of Alaska, and affiliate brands Vivacity and Connexion Insurance Salutation’s Inc. Members of other Blue Cross Blue Shield plans who sought treatment in Washington or Alaska are also affected.",Wisconsin
103,Names and driver's license numbers.,"May 13, 2014","On Friday, February 27th, Uber disclosed a data breach of approximately 50,000 drivers’ names and driver’s license numbers. Uber discovered the breach on September 17, 2014 and learned their databases were accessed by an unauthorized third party on May 13, 2014. Uber immediately began investigating and changed database access protocols. Uber also filed a ""John Doe"" lawsuit in attempt to gather information that could help identify the third party. Uber is offering a one year membership to Experian’s ProtectMyID Alert free of charge, to those impacted. Data breach notification letters with instructions for signing up will be mailed. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Uber,"February 27, 2015","50,000 Uber drivers.",Wisconsin
104,"Names, dates of birth, Social Security numbers, medical ID numbers, street addresses, email addresses and employment information, including income data .",Unknown,"Anthem Inc. has been a victim of a sophisticated cyber-attack. The number of those affected is unknown, but currently estimated at about 80 million. Names, dates of birth, Social Security numbers, medical ID numbers, street addresses, email addresses, and employment information, including income data of Anthem’s current and former members and employees have been compromised in the breach. Anthem’s initial investigation concludes that no medical data or credit card details have been exposed. The impacted plans/brands of the data breach include: Anthem Blue Cross Anthem Blue Cross and Blue Shield Blue Cross and Blue Shield of Georgia Empire Blue Cross and Blue Shield Amerigroup Caremore Unicare Healthlink DeCareAnthem Inc. has hired an expert cybersecurity firm to assist in the investigation and is working closely with the FBI. Anthem will be mailing notifications to all who are impacted. Included in the notification will be an offer of free credit report monitoring and instructions for signing up. Consumers should visit anthemfacts.com and review the FAQ for the most up to date information. They may also call 1-877-263-7995. Update 2/13/15:Anthem is offering 24 months of credit monitoring and identity theft repair services through AllClear ID free of charge, to current or former members (2004 and beyond) of one of Anthem’s plans. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Anthem Inc.,"February 4, 2015",Anthem’s current and former members and Anthem employee,Wisconsin
105,"Customer names, email addresses, phone numbers, mailing addresses, dates of birth, the last 4 digits of the passport number, the last 4 digits of the card number stored in the account, the card expiration date, AAdvantage numbers, information about miles, mileage activity and the amount of mileage points.","December 30, 2014","On Thursday, January 15, American Airlines Inc. reported a data breach that occurred on or about December 30, 2014 in which a third party used email addresses and passwords obtained from external sources to log into certain accounts.The breach affects AAdvantage customers which has about 70 million participants. It is estimated that only about 10,000 accounts were affected. The exposed information may include customer names, email addresses, phone numbers, mailing addresses, dates of birth, the last 4 digits of the passport number, the last 4 digits of the card number stored in the account, the card expiration date, AAdvantage numbers, information about miles, mileage activity and the amount of mileage points. The company has locked compromised AAdvantage accounts and is instructing consumers to create new accounts, using a new password. Consumers will then need to contact AAdvantage Customer Service by calling 1-800-882-8880 to request their miles from their old account be transferred to their new account.American Airlines is also offering one year of free credit monitoring services from Experian’s ProtectMyID Alert program. Consumers have until April 30, 2015 to access the offer and must do so following the instructions in their breach notice which contains a unique code. The investigation is ongoing and the company is working closely with law enforcement. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",American Airlines Inc.,"January 15, 2015","10,000 American Airlines AAdvantage accounts.",Wisconsin
106,"MileagePlus number, account balance and Premier status. Other account details may also have been viewed such as mailing addresses and the last four digits of the card number saved in the account.","December 9, 2014","On Tuesday, January 6, United Airlines Inc. reported a data breach that began on December 9, 2014 when a third party used email addresses and passwords obtained from external sources to log into certain accounts. The breach affects United MileagePlus customers which has about 70 million participants. It is estimated that only about 7,000 accounts were affected. The exposed information may include the customer’s MileagePlus number, account balance and Premier status. While there is no indication that any other information was obtained, there is a possibility that other account details may have been viewed such as mailing addresses and the last four digits of the card number saved in the account. The company has locked the compromised Mileage Plus accounts and is instructing consumers to contact Customer Service at 1-800-421-4655 to receive assistance in resetting the account password, username, pin and security questions. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",United Airlines Inc.,"January 6, 2015","7,000 United MileagePlus accounts.",Wisconsin
107,"Card holder names, billing addresses, card numbers, expiration dates and verification codes.",Unknown,"On Tuesday, January 13th, Park ‘N Fly confirmed a data breach that compromised payment card data processed through its website, pnf.com.The exposed data includes card numbers, expiration dates, security codes, card holder names and billing addresses. Loyalty customers may have also had their email address, Park ‘N Fly password and telephone number breached. The investigation is ongoing and Park ‘N Fly has engaged law enforcement and data forensic experts to assist. The number of consumers affected is unknown however Park ‘N Fly is offering 12 months of free credit monitoring services to its customers through AllClear ID. There are two Park ‘N Fly locations near the Milwaukee General Mitchell International Airport. A complete list can be found here. Consumers can visit pnf.com/security-update/ for the most up to date information or call 1-855-683-1165 Monday thru Saturday 8:00 AM to 8:00 PM CST. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Park 'N Fly Inc.,"January 13, 2015",Consumers who used a debit or credit card on pnf.com.,Wisconsin
108,"Card holder names, card numbers, expiration dates and verification codes.","July 20, 2014 – September 16, 2014","On Friday, December 19, 2014 Staples confirmed a data breach which has impacted 115 of its 1400 locations. No Wisconsin stores were affected.A complete list can be found here. The investigation determined that Staples point-of-sale systems were infiltrated with malware which may have allowed access to transaction data including cardholder names, card numbers, expiration dates, and verification codes. At 113 stores, the malware may have allowed access to this data for purchases made from August 10, 2014 through September 16, 2014. At two stores, the malware may have allowed access to data from purchases made from July 20, 2014 through September 16, 2014.Staples is offering free credit monitoring services through ProtectMyID (Experian) to anyone who shopped at one of the affected stores during the data breach. Consumers with questions regarding this incident may visit Staples.com or call 1-866-274-4371 Monday through Friday from 9:00 AM to 9:00 PM EST, and Saturday and Sunday from 11:00 AM to 8:00 PM EST. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Staples Inc.,"December 19, 2014","Consumers who shopped at one of the 115 affected stores between July 20, 2014 and September 16, 2014 – approximately 1.16 million payment cards.",Wisconsin
