,Cause of Breach,Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Entity Address,Entity Type,Individuals Affected,Name of Entity,State Reported
995,,"Name or other personal identifier in combination with SSN and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-12-22 00:00:00,,9/20/16 - 11/17/16 (discovered 9/20/16),,,114(in Maine,"Dover Federal Credit Union, 1075 Silver Lake Blvd, Dover, DE 19904",Maine
996,,Name or other personal identier in combination with SSN,2016-12-22 00:00:00,,2016-11-15 00:00:00,,,4(in Maine,"Claremont University Consortium, 101 South Mills Avenue, Claremont, CA 91711",Maine
997,,Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number.,2016-12-21 00:00:00,,2016-07-01 00:00:00,,,216(in Maine,"Western Union Financial Services, Inc., 12500 Belford Ave., Englewood, CO 80112",Maine
998,,Name or other personal identifier in combination with SSN,2016-12-20 00:00:00,,Unknown (discovered 10/17/16),,,1(in Maine,"Ameriprise Financial, Inc., 707 Second Avenue S, Minneapolis, MN 55474",Maine
999,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2016-12-16 00:00:00,,Unknown (discovered 9/27/16),,,1(in Maine,"State Farm Mutual Automobile Ins Co, One State Farm Plaza, Bloomington, IL 61710",Maine
1000,,Name or other personal identifier in combination with SSN,2016-12-16 00:00:00,,Between 9/21/16 & 9/29/16 approx. (discovered 11/1/16),,,2(in Maine,"The Federal Savings Bank, 300 North Elizabeth Street, Ste 3E, Chicago, IL 60657",Maine
1001,,"Name, email address, telephone number, birthdate, hashed passwords and in some cases, encrypted or unencrypted security questions and answers.",2016-12-14 00:00:00,,2016-08-13 00:00:00,,,2448000(in Maine,Yahoo Inc.,Maine
1002,,"Name or other personal identifier in combination wit financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2016-12-13 00:00:00,,2016-12-01 00:00:00,,,1(in Maine,"Breville USA, Inc., 19400 S. Western Ave., Torrance, CA 90501",Maine
1003,,Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number.,2016-12-12 00:00:00,,On or before 11/24/16,,,3(in Maine,"Intuit, Inc., 2535 Garcia Avenue, Mountain View, CA  94043",Maine
1004,,"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-12-09 00:00:00,,2016-11-07 00:00:00,,,1(in Maine,"Anchor Loans, 5230 Las Virgenes Road, Suite 105, Calabasas, CA 91302",Maine
1005,,"Name or other personal identifire in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2016-12-09 00:00:00,,11/6/16-11/8/16,,,1(in Maine,"Julep Beauty Inc., 111 Queen Anne Ave., North Suite 200, Seattle, WA 98122",Maine
1006,,Name or other personal identifier in combination with SSN,2016-12-06 00:00:00,,2016-10-18 00:00:00,,,2(in Maine,"Baylor College of Medicine, One Baylor Plaza, Houston, TX 77030",Maine
1007,,See 11/22/16 Notice,12/5/16 (Supplement to 11/22/16 notice),,2016-08-15 00:00:00,,,Additional 59 Maine residents(in Maine,"Brennan Recupero Cascione Scungio and McAllister LLP, 362 Broadway, Providence, RI 02009",Maine
1008,,Personally identifiable information,2016-12-02 00:00:00,,Became aware 10/17/16,,,14(in Maine,"Guilmartin, DiPiro & Sokolowski, LLC",Maine
1009,,"Name or other identifier in combination with SSN and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-12-02 00:00:00,,2016-10-14 00:00:00,,,2(in Maine,"Gustafson & Wargo CPA's LLP, 3264 Seneca Turnpike, Canastota, NY 13032",Maine
1010,,Name or other personal identifier in combination with SSN,2016-12-02 00:00:00,,,,,1(in Maine,"Dr. Melissa Selke, 390 Amwell Road, Building 4, Suite 405, Hillsborough, NJ 08844",Maine
1011,,Name or other personal identifier in combination with SSN & Driver's license number or non-driver identification card number,2016-12-02 00:00:00,,2016-11-22 00:00:00,,,1(in Maine,"Intuit, Inc., 2535 Garcia Avenue, Mountain View, CA  94043",Maine
1012,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account",2016-11-30 00:00:00,,2016-09-01 00:00:00,,,129(in Maine,"The LANG Companies, Inc., 20825 Swenson Drive, Waukesha, WI 53186",Maine
1013,,Discover card account information might have been part of a data breach,2016-11-29 00:00:00,,"October, 2016",,,5(in Maine,Acer.com 2542984530,Maine
1014,,Discover card account information might have been part of a data breach,2016-11-29 00:00:00,,"October, 2016",,,34(in Maine,Dailysale.com,Maine
1015,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2016-11-29 00:00:00,,2/10/16-6/2/16 (discovered 10/6/16),,,12(in Maine,"SwervePoint LLC, 75 Sylvan Street, Danvers, MA 01923",Maine
1016,,"Name or other identifier in combination with SSN and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-11-28 00:00:00,,2016-07-16 00:00:00,,,1(in Maine,"State Street Bank & Trust Co., One Iron Street, State Street Channel Center, Boston, MA 02210",Maine
1017,,Name or other personal identifier in combination with SSN & Driver's license number or non-driver identification card number,2016-11-28 00:00:00,,On or around 7/29/15 (discovered on or around 11/8/16),,,1(in Maine,"Caesars Entertainment, One Caesars Palace Drive, Las Vegas, NV 89109",Maine
1018,,"Name, payment card number, security code and exp date",2016-11-23 00:00:00,,Discovered 11/4/16,,,11(in Maine,"Backcountry Gear, 1855 W. 2nd Ave, Eugene, Oregon 97402; (800) 953-5499",Maine
1019,,"Name or other personal identifier in combination with SSN and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-11-22 00:00:00,,11/9/16 - 10/24/16,,,Unknown(in Maine,"The Madison Square Garden Co., Madison Square Garden, 2 Pennsylvania Plaza, New York, NY 10121",Maine
1020,,Name or other personal identifier in combination with SSN,2016-11-22 00:00:00,,2016-08-15 00:00:00,,,8(in Maine,"Brennan Recupero Cascione Scungio and McAllister LLP, 362 Broadway, Providence, RI 02009",Maine
1021,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2016-11-22 00:00:00,,9/26/16-10/18/16,,,2(in Maine,"Educents Inc, 369 Sutter Street, San Francisco, CA 94108",Maine
1022,,"Name, SSN, student ID number (APID), employee ID number (ZPID) and in some cases birthdate",2016-11-22 00:00:00,,2016-11-13 00:00:00,,,"Not stated- just ""some""(in Maine","Michigan State University, Hannah Administration Building, 426 Auditorium Road, Rom 494, East Lansing, MI 48824",Maine
1023,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2016-11-22 00:00:00,,3/9/16 to 10/22/16 (discovered 10/21/16),,,Unknown(in Maine,"Island Hotel Company Limited, One Casino Drive, Paradise Island, Bahamas",Maine
1024,,"Name, card number, exp date and cvv code",2016-11-21 00:00:00,,4/1/16 to 9/15/16,,,Unknown(in Maine,"BWTX Associates, 4408 Spricewood Springs Road, Austin, TX 78759",Maine
1025,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2016-11-21 00:00:00,,Unknown (discovered 9/27/16),,,1(in Maine,"State Farm, One State Farm Plaza, Bloomington, IL 61710",Maine
1026,,Name or other personal identifier in combination with SSN,2016-11-21 00:00:00,,Unknown (discovered 9/22/16),,,87(in Maine,"Peachtree Orthopaedic Clinic, 2001 Peachtree Road, N.E., Suite 705, Atlanta, GA 30309",Maine
1027,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2016-11-18 00:00:00,,10/3/15 - 10/9/16 (discovered 10/5/16),,,Unknown(in Maine,"Springfield Armory, 420 West Main Street, Geneseo, IL 61254",Maine
1028,,a limited number of customers’ email addresses and passwords used to access their QVC accounts,2016-11-17 00:00:00,,Unknown (discovered 10/17/16),,,29(in Maine,"QVC, Inc., 1200 Wilson Drive, West Chester, PA 19380",Maine
1029,,"Name or other personal identifire in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2016-11-16 00:00:00,,10/4/16-11/1/16,,,4(in Maine,"Times Three Clothier, d/b/a Yummie by Heather Thomson, 530 Seventh Avenue, Suite 1505, NY, NY 10018",Maine
1030,,"No information is known to be acquired, it was a ransomware event, but some consultation notes were lost due to a backup failure",2016-11-16 00:00:00,,2016-07-26 00:00:00,,,2(in Maine,"Eye Institute of Marin/Kathryn Najafi-Tagol, MD, 4000 Civic Center Drive, Suite 200A, San Rafael, CA 94903",Maine
1031,,"clients’ names, account numbers, contact information, and other information about their Schwab accounts, including positions and transactions",2016-11-11 00:00:00,,On or around 3/25/16 (Discovered mid-april),,,55(in Maine,"Charles Schwab & Co., 211 Main Street, San Francisco, CA 94105",Maine
1032,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-11-09 00:00:00,,9/7/16 (discovered 10/30/16),,,113(in Maine,"Eileen Fisher, Inc., 2 Bridge Street, Suite 230, Irvington, NY 10533",Maine
1033,,Name or other personal identifier in combinatino with SSN,2016-11-09 00:00:00,,6/16/16 (discovered 9/13/16),,,1(in Maine,"Politi & Magnifico LLC, 5 Edgewood Avenue, Greenwich, CT 06830",Maine
1034,,"Name or other personal identifier in combination with SSN and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-11-09 00:00:00,,7/14/16 (discovered 7/21/16),,,48(in Maine,"UFCW Local 655 Food Employers Joint Pension Plan, 300 Weidman Road, Ballwin, MO  63011",Maine
1035,,Name or other personal identifier in combination with Driver's license number or non-driver identification card number.,2016-11-09 00:00:00,,9/11/16 (Discovered 9/23/16),,,3(in Maine,"Best Health Physical Therapy LLC, 772 Long Hill Road, Groton, CT 06340",Maine
1036,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-11-09 00:00:00,,4/25/16 (Discovered 4/29/16),,,4(in Maine,"Nationstar Mortgage LLC, 8950 Cypress Waters Blvd, Coppell, TX 75019",Maine
1037,,Name or other personal identifier in combination with SSN,2016-11-07 00:00:00,,10/3/16-10/14/16 (discovered 10/13/16),,,72(in Maine,"Emblem Health, 55 Water Street, NY, NY 10041",Maine
1038,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2016-11-04 00:00:00,,Discovered 10/7/16,,,23(in Maine,"Rebecca Minkoff, 16 West 22nd Street, 7th FL, New York, NY 10010",Maine
1039,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2016-11-03 00:00:00,,8/28/16 - 10/3/16 (discovered 9/30/16),,,17(in Maine,"Christian Louboutin LLC, 306 West 38th Street, 12th Floor, NY, NY 10018",Maine
1040,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2016-11-03 00:00:00,,9/1/16 (discovered 10/14/216),,,107(in Maine,"National Wholesale Corporation Inc., 400 National Blvd, Lexington, North Carolina 27292",Maine
1041,,"Driver codes, SSNs",2016-10-31 00:00:00,,2016-10-20 00:00:00,,,106(in Maine,"Prime, Inc.,2740 N. Mayfair, Springfield, MO 65803",Maine
1042,,"Billing Name, shipping name, shipping address, date of online purchase, purchase amount, email address, and credit card number and security code.  In some instances, an account ID number was also accessed.",2016-10-31 00:00:00,,9/22/16-10/5/16,,,1(in Maine,"Thirty Three Threads, Inc.",Maine
1043,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-10-26 00:00:00,,2016-09-30 00:00:00,,,1(in Maine,"International E-Z UP, Inc., 1900 Second Street, Norco, CA 92860",Maine
1044,,Discover card account information may have been compromised.,2016-10-24 00:00:00,,2016-09-01 00:00:00,,,18(in Maine,Harbortouch,Maine
1045,,Discover card account information may have been compromised.,2016-10-24 00:00:00,,2016-09-01 00:00:00,,,47(in Maine,Landry's Inc.,Maine
1046,,Discover card account information may have been compromised.,2016-10-24 00:00:00,,2016-09-01 00:00:00,,,2(in Maine,Lulus.com,Maine
1047,,Discover card account information may have been compromised.,2016-10-24 00:00:00,,2016-09-01 00:00:00,,,105(in Maine,Sally Beauty 005,Maine
1048,,Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number.,2016-10-21 00:00:00,,8/5/2015-6/14/16 (discovered 6/15/16),,,6(in Maine,"City of Middletown, 16 James Street, Middletown, NY 10940",Maine
1049,,"Name, address, birthdate and SSN",2016-10-21 00:00:00,,Discovered 9/13/16,,,1(in Maine,"Pacific Concepts Group, Inc. d/b/a National Satellite Center (""NSC""), Long Beach, California",Maine
1050,,"Name, billing and shipping address, credit card numbers, card exp dates and CVVs.  And possibly email address and password",2016-10-20 00:00:00,,9/18/16 (discovered 9/23/16),,,2(in Maine,"Natural Life Collections, Inc.",Maine
1051,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2016-10-19 00:00:00,,5/29/16 (discovered 7/22/16),,,132(in Maine,"Eastwood Company, 263 Shoemaker Road, Pottstown, PA 19464",Maine
1052,,Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number.,2016-10-17 00:00:00,,On or before 8/15/16,,,2(in Maine,"Intuit, Inc., 2535 Garcia Avenue, Mountain View, CA  94043",Maine
1053,,Name or other personal identifier in combination with SSN,2016-10-14 00:00:00,,2016-07-07 00:00:00,,,2(in Maine,"Borden Perlman Insurance, 250 Phillips Blvd, Suite 280, Ewing Township, NJ 08618",Maine
1054,,Name or other personal identifier in combination with SSN,2016-10-13 00:00:00,,2016-09-29 00:00:00,,,2(in Maine,"Delta Career Education Corp, 99 Canal Center Plaza, Suite 501, Alexandria, VA 22314",Maine
1055,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2016-10-12 00:00:00,,7/25/16-9/23/16,,,Unknown(in Maine,"Vera Bradley, Inc., 12420 Stonebridge Road, Roanoke, IN 46783",Maine
1056,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2016-10-11 00:00:00,,2016-09-26 00:00:00,,,1(in Maine,"WRJ Holdings LLC, d/b/a Classic Firearms, 3305 Westwood Industrial Drive, Monroe, NC 28110",Maine
1057,,Name or other personal identifier in combination with SSN,2016-10-05 00:00:00,,7/28/16 - 8/1/16,,,211(in Maine,"HD Vest Investment Services, 6333 State Highway 161, Irving, TX 75038",Maine
1058,,"Name, address, birthdate, SSN & account number.",2016-10-04 00:00:00,,"Not specified (""recently"") ",,,6(in Maine,"TD Bank N.A., 9000 Atrium Way, Mounty Laurel, NJ 08054",Maine
1059,,Name or other personal identifier in combination with SSN,2016-09-30 00:00:00,,2016-09-12 00:00:00,,,1(in Maine,"Vaupell Holdings, Inc., 1114 N.W. 53rd Street, Seattle, WA 98107",Maine
1060,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-09-27 00:00:00,,2016-09-14 00:00:00,,,1(in Maine,"Scentlok Technologies, 1731 Wierengo Dr, Muskegon, MI  49442",Maine
1061,,"Name, address, email address, payment card information and VF account passwords",2016-09-27 00:00:00,,Possibly between 4/17 /16 and 8/26/16 (Discovered on 8/18/16),,,24(in Maine,"VF Outlet, Inc.",Maine
1062,,"customer name, address, SSN and payroll information",2016-09-27 00:00:00,,Discovered 7/21/16,,,1(in Maine,Santoro CPA and SimpleBooks Corp,Maine
1063,,Name or other personal identifier in combination with SSN,2016-09-26 00:00:00,,Discovered 9/8/16,,,23(in Maine,"Novation Settlement Solutions, 1641 Worthington Road, Suite 410, West Palm Beach, FL 33409",Maine
1064,,Discover card account information may have been compromised.,2016-09-23 00:00:00,,2016-08-01 00:00:00,,,17(in Maine,American Medical ID,Maine
1065,,Discover card account information may have been compromised.,2016-09-23 00:00:00,,2016-08-01 00:00:00,,,44(in Maine,Bailey's Inc,Maine
1066,,Discover card account information may have been compromised.,2016-09-23 00:00:00,,2016-08-01 00:00:00,,,2(in Maine,CDs,Maine
1067,,Discover card account information may have been compromised.,2016-09-23 00:00:00,,2016-08-01 00:00:00,,,3(in Maine,Gun Mag Warehouse,Maine
1068,,Discover card account information may have been compromised.,2016-09-23 00:00:00,,2016-08-01 00:00:00,,,3(in Maine,HK Parts,Maine
1069,,Discover card account information may have been compromised.,2016-09-23 00:00:00,,2016-08-01 00:00:00,,,79(in Maine,Hyatt Hotels,Maine
1070,,Discover card account information may have been compromised.,2016-09-23 00:00:00,,2016-08-01 00:00:00,,,1(in Maine,Kalahari Resort,Maine
1071,,Discover card account information may have been compromised.,2016-09-23 00:00:00,,2016-08-01 00:00:00,,,1(in Maine,Longfield Gardens LLC,Maine
1072,,Discover card account information may have been compromised.,2016-09-23 00:00:00,,2016-08-01 00:00:00,,,2(in Maine,Penn National Gaming,Maine
1073,,Discover card account information may have been compromised.,2016-09-23 00:00:00,,2016-08-01 00:00:00,,,1(in Maine,SAS Shoes,Maine
1074,,Discover card account information may have been compromised.,2016-09-23 00:00:00,,2016-08-01 00:00:00,,,3(in Maine,The Clevelander Restaurant,Maine
1075,,Discover card account information may have been compromised.,2016-09-23 00:00:00,,2016-08-01 00:00:00,,,1(in Maine,Trusted Health Products,Maine
1076,,Discover card account information may have been compromised.,2016-09-23 00:00:00,,2016-08-01 00:00:00,,,4(in Maine,Wendy's ,Maine
1077,,Discover card account information may have been compromised.,2016-09-23 00:00:00,,2016-08-01 00:00:00,,,1(in Maine,Wharton Farm,Maine
1078,,Name or other personal identifier in combination with account passwords or PI numbers or other access codes.,2016-09-23 00:00:00,,Discovered 8/24/16,,,Unknown(in Maine,"Jive Software - Producteev, 501 2nd Street, Suite 202, San Francisco, CA 94107",Maine
1079,,Name or other personal identifier in combination with SSN,2016-09-23 00:00:00,,2016-07-25 00:00:00,,,1(in Maine,"IMX Medical Management, Inc., 1700 Paoli Pike, Malvern, PA 19355",Maine
1080,,"Name, email address, telephone number, birthdate, hashed passwords and in some cases, encrypted or unencrypted security questions and answers.",2016-09-22 00:00:00,,"Late 2014, just discovered",,,213487(in Maine,Yahoo,Maine
1081,,"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number, in combination with the security code, access code, pasword or Pin for the account.",2016-09-21 00:00:00,,2016-07-27 00:00:00,,,3(in Maine,"New Jersey Spine Center, 40 Main Street, Chatham, NJ 07928",Maine
1082,,"Name or other personal identifier in combination with SSN & financial account number or credit or debit card number, in combination with security code, access code, password or PIN for the account",2016-09-21 00:00:00,,2016-07-11 00:00:00,,,7(in Maine,"Stallcap & Associates, CPAs, 2595 Mission Street, Suite 300, San Francisco, CA 94110",Maine
1083,,Name or other personal identifier in combination with SSN,2016-09-19 00:00:00,,April 2013 (Discovered 8/5/16),,,1(in Maine,"Freddie Mac, 8200 Jones Branch Drive, McLean, VA 22102",Maine
1084,,"Name or other personal identifier in combination wit SSN, Driver's license number or non-driver identification card number",2016-09-19 00:00:00,,Discovered 8/22/16,,,1145(in Maine,"ACTIVEOutdoors, 171 N. Harwood, Dallas, TX 75201",Maine
1085,,"Name, address, payment card number, security code & exp date",2016-09-16 00:00:00,,8/11/16-8/16/16 (discovered 8/23/16),,,44(in Maine,"Lulu's Fashion Lounge, Inc.",Maine
1086,,Payment card data ,2016-09-16 00:00:00,,Follow up to 8/31/16 notice,,,475 (this is an updated from previous notice(in Maine,Kimpton Hotels & Restaurants,Maine
1087,,Name or other personal identifier in combination with SSN & Driver's license number or non-driver identification card number,2016-09-15 00:00:00,,2016-08-22 00:00:00,,,1(in Maine,"Intuit, Inc., 2535 Garcia Avenue, Mountain View, CA  94043",Maine
1088,,"Patient name, address, birthdate, SSN & medical billing information",2016-09-08 00:00:00,,Discovered on 7/11/16,,,17(in Maine,"University Gastroenterology (""UGI"")",Maine
1089,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-09-02 00:00:00,,4/25/16-8/5/16 (discovered 8/5/16),,,13(in Maine,"Noble House Hotels & Resorts, 600 6th Street South, Kirkland, WA 98033",Maine
1090,,Name or other personal identifier in combination with Driver's license number or non-driver identification card number.,2016-09-02 00:00:00,,2016-06-29 00:00:00,,,2(in Maine,"QR Lending, 555 Zor Shine Place, Suite 100, Madison, WI 53719",Maine
1091,,"Client information including address, SSN, driver's license or ID number and financial account number may have been stored on the stolen device",2016-08-31 00:00:00,,Discovered 8/1/16,,,6(in Maine,"M Holdings Securites, Inc.",Maine
1092,,"Employee number, name, position title, station name, state, SSN, compensation code. Income code, income description, hours piad, and amount paid",2016-08-31 00:00:00,,Gray Television was Notified on 8/12/16,,,35(in Maine,"Gray Television, Inc.",Maine
1093,,"Name orother personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2016-08-31 00:00:00,,2/12/16-7/16/16,,,190(in Maine,"Nourse Farms, 41 River Road, South Deerfield, MA 01373",Maine
1094,,"Name or other personal identifier in combinaiton with financial account number or credit or debit card number, in combination with the security code, access code, password, or IN for the account.",2016-08-31 00:00:00,,2016-03-09 00:00:00,,,2(in Maine,"State Farm, One State Farm Plaza, Bloomington, IL 61710",Maine
1095,,"Name, address, SSN, birthdate, phone numbers, and in come cases diagnoses and partial medical history",2016-08-26 00:00:00,,2016-06-14 00:00:00,,,12(in Maine,Athens Orthopedic Clinic,Maine
1096,,"Name, birthdate, address, telephone number, benefits info and information used to administer benefits, and SSN",2016-08-25 00:00:00,,2015-11-24 00:00:00,,,1(in Maine,Exterran,Maine
1097,,Payment card data,8/22/16 (update to 6/30/16 notice),,10/21/15 - 4/7/16,,,Additional 100 Maine residents(in Maine,"KontrolFreek, LLC",Maine
1098,,"Name, phone number, account number, payoff amount and maturity date",2016-08-22 00:00:00,,2016-06-28 00:00:00,,,Unknown(in Maine,"Toyota Financial Services, 19001 So. Western Ave, Privacy Compliance EF-12, Torrance, CA",Maine
1099,,Discover card account information may have been compromised.,2016-08-18 00:00:00,,2016-07-01 00:00:00,,,1(in Maine,Casino Morongo,Maine
1100,,Discover card account information may have been compromised.,2016-08-18 00:00:00,,2016-07-01 00:00:00,,,29(in Maine,Eyebuydirect Inc,Maine
1101,,Discover card account information may have been compromised.,2016-08-18 00:00:00,,2016-07-01 00:00:00,,,2(in Maine,Noble House Hotels & Resorts,Maine
1102,,Discover card account information may have been compromised.,2016-08-18 00:00:00,,2016-07-01 00:00:00,,,17(in Maine,Rosen Plaza Hotel,Maine
1103,,Discover card account information may have been compromised.,2016-08-18 00:00:00,,2016-07-01 00:00:00,,,7(in Maine,TN Marketing  LLC,Maine
1104,,"Name or other personal identifier in combination with financial account number or credit or debit card number in combination with security  code, access code, password or PIN for the account.",2016-08-19 00:00:00,,3/24/16 to 7/29/16,,,15(in Maine,"DXE Medical, Inc., 1001 Flagpole Court, Brentwood, TN 37027",Maine
1105,,Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number.,2016-08-19 00:00:00,,2016-08-03 00:00:00,,,2(in Maine,"Intuit, Inc., 2535 Garcia Avenue, Mountain View, CA  94043",Maine
1106,,"Name or personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-08-18 00:00:00,,1/2/16 to 7/17/16 ,,,10710(in Maine,"Eddie Bauer, LLC, 10401 NE 8th Street, Suite 500, Belevue, WA 98004",Maine
1107,,Name or other personal identifier in combination with SSN,2016-08-15 00:00:00,,2016-07-25 00:00:00,,,6(in Maine,"Precision Pipeline, LLC, 3314 56th Street, Eau Claire, WI 54703",Maine
1108,,"Name, payment card account number, card expiration date, verification code ",2016-08-12 00:00:00,,12/2/15 - 6/21/16  (some as early as 3/1/15),,,Unknown(in Maine,HEI Hotel & Resorts,Maine
1109,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-08-11 00:00:00,,6/25/16 & 7/22/16,,,20(in Maine,"PAX Labs, Inc., 660 Alabama Street, 2nd Fl, San Francisco, CA 94110",Maine
1110,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-08-10 00:00:00,,2016-04-24 00:00:00,,,1(in Maine,"Penn State Alumni Association, Hintz Family Alumni Center, University Park, PA 16802",Maine
1111,,Name or other personal identifier in combination with SSN,2016-08-09 00:00:00,,2016-06-13 00:00:00,,,25(in Maine,"7-Eleven, Inc., 3200 Hackberry Road, Irving, TX 75063",Maine
1112,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-08-09 00:00:00,,2016-07-16 00:00:00,,,1(in Maine,"EBSCO Sign Group, LLC, 1400 8th Street North, Clanton, AL 35045",Maine
1113,,"Name, SSN, address, birthdate and bank account info for direct deposits of paychecks",2016-08-08 00:00:00,,"5/24-July 15, 2016",,,1(in Maine,Green Valley Mountain School,Maine
1114,,Name or other personal identifier in combination with SSN,2016-08-05 00:00:00,,5/14 or 5/15/16 ,,,2(in Maine,"Multi-Color Corp., 4053 Clough Woods Drive, Batavia, OH 54103",Maine
1115,,"Name, address and account number",2016-08-04 00:00:00,,2016-02-25 00:00:00,,,9(in Maine,"TD Bank N.A., 9000 Atrium Way, Mounty Laurel, NJ 08054",Maine
1116,,"Name, address, phone number, email address and Schwan'sPay card number",2016-08-04 00:00:00,,"As far back as 10/9/15 - August 1, 2016",,,116(in Maine,"Schwan's Home Service, Inc., 115 West College Drive, Marshall, MN 56258",Maine
1117,,"Name or other personal identifier in combination with financial account number or credit or debit card number in combination with security  code, access code, password or PIN for the account.",2016-08-04 00:00:00,,4/22/16-4/24/16,,,nan(in Maine,"Academy of Nutrition & Dietetics, 120 S. Riverside Plaza, Chicago, IL  60606",Maine
1118,,"Name or other personal identifier in combination with financial account number or credit or debit card number in combination with security  code, access code, password or PIN for the account.",2016-08-04 00:00:00,,11/13/15-6/10/16,,,5(in Maine,"Travel Caddy, Inc., dba Travelon, 700 Touhy Ave, Elk Grove Fillage, IL 60007",Maine
1119,,"Name, credit card number and other related information.",2016-08-03 00:00:00,,Beginning as early as 5/3/16 ,,,Not specified.(in Maine,"MedAltus, LLC",Maine
1120,,Name or other personal identifier in combination with SSN,2016-08-03 00:00:00,,6/17/2016 - 6/25/16,,,353(in Maine,"Banner Health, 2901 N. Central Ave., Phoenix, AZ 83012",Maine
1121,,Name and SSN,2016-08-01 00:00:00,,Discovered 7/6/16,,,5(in Maine,"KGA, Inc., The Meadows, 161 Worcester Road, Framingham, MA 01701",Maine
1122,,Name or other personal identifier in combination with SSN,2016-08-01 00:00:00,,2016-07-21 00:00:00,,,4(in Maine,"Nordic Consulting Partners, Inc., 740 Regent Street, Suite 400, Madison, WI 53715",Maine
1123,,"Name or other personal identifier in combination with financial account number or credit or debit card number in combination with security  code, access code, password or PIN for the account.",2016-07-29 00:00:00,,2016-05-23 00:00:00,,,5(in Maine,"Pro Performance Sports, LLC, 2081 Faraday Ave, Carlsbad, CA 92008",Maine
1124,,Name or other personal identifier in combination with SSN,2016-07-21 00:00:00,,2016-06-02 00:00:00,,,21(in Maine,"inVentiv Health Inc., 1 Van de Graaff Drive, Burlington, MA 01803",Maine
1125,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-07-20 00:00:00,,6/30/15-719/16 (discovered 3/5/16),,,0 known(in Maine,"CiCi Enterprises, LP, 1080 West Bethel Road, Coppell, TX 75019",Maine
