"
Organization Name ","
            Date(s) of Breach          ","
Reported Date "
b'\nOilandgasjobsearch.com Limited ',b'\n09/03/2016 ',b'\n            03/29/2017          '
"b""\nMollie Stone's Markets """,b'\n            n/a          ',b'\n            03/27/2017          '
"b'\nEasy Breathe, Inc. '",b'\n01/04/2017 ',b'\n            03/27/2017          '
"b'\nGoldenvoice, LLC '",b'\n09/01/2016 ',b'\n            03/24/2017          '
b'\nFor the Inspiration and Recognition of Science and Technology ',"b'\n01/21/2017, 03/07/2017 '",b'\n            03/24/2017          '
b'\nUrology Austin ',b'\n01/22/2017 ',b'\n            03/22/2017          '
"b'\nLYFE Kitchen Companies, LLC '","b'\n11/03/2016, 01/06/2017 '",b'\n            03/21/2017          '
b'\nSchurman Fine Papers dba Schurman Retail Group ',b'\n01/18/2017 ',b'\n            03/21/2017          '
b'\nRent the Runway ',b'\n02/23/2017 ',b'\n            03/21/2017          '
b'\nPraetorian Digital which operates PoliceOne.com ',b'\n            n/a          ',b'\n            03/21/2017          '
"b'\nBulletproof 360, Inc. '","b'\n10/26/2016, 01/31/2017 '",b'\n            03/21/2017          '
b'\nCampbell Taylor & Company ',"b'\n01/27/2017, 02/02/2017 '",b'\n            03/18/2017          '
"b'\nHampton Jitney, Inc.    '",b'\n02/20/2017 ',b'\n            03/17/2017          '
b'\nAmerican Tire Distributors Holdings Inc. ',b'\n03/03/2017 ',b'\n            03/17/2017          '
"b'\nNSC Technologies, LLC '",b'\n            n/a          ',b'\n            03/16/2017          '
b'\nZest Dental Solutions ',"b'\n12/31/2013, 09/21/2014, 11/02/2016, 02/04/2017 '",b'\n            03/14/2017          '
b'\nOndracek & Company ',b'\n11/21/2016 ',b'\n            03/13/2017          '
"b'\nAptos, Inc. on behalf of Retailers in Attached Addenda '",b'\n            n/a          ',b'\n            03/13/2017          '
b'\nHutchinson and Bloodgood LLP ',b'\n12/21/2016 ',b'\n            03/10/2017          '
b'\nTarleton Medical ',b'\n            n/a          ',b'\n            03/09/2017          '
b'\nprAna ',b'\n12/14/2016 ',b'\n            03/08/2017          '
"b""\nFriedman & Perry, CPA's ""","b'\n06/15/2016, 01/30/2017 '",b'\n            03/08/2017          '
b'\nUniversal Care DBA Brand New Day ',b'\n12/22/2016 ',b'\n            03/03/2017          '
b'\nWest Music Company ',b'\n02/01/2016 ',b'\n            03/03/2017          '
b'\nOrange County Global Medical Center ',b'\n02/08/2017 ',b'\n            03/02/2017          '
b'\nUniversity of California Santa Cruz ',b'\n01/13/2017 ',b'\n            03/02/2017          '
b'\nStallcup & Associates CPAs ',b'\n01/10/2017 ',b'\n            03/01/2017          '
"b'\nMetWest Terra Hospitality, LLC '",b'\n            n/a          ',b'\n            03/01/2017          '
b'\nSpiral Toys ',b'\n01/07/2017 ',b'\n            02/28/2017          '
"b'\nJohn D. Williamson, Certified Public Accountant '",b'\n02/09/2017 ',b'\n            02/27/2017          '
b'\nAptos Inc. ',b'\n02/01/2016 ',b'\n            02/27/2017          '
"b'\nAptos, Inc. on behalf of Retailers in the Attached Addendum '",b'\n            n/a          ',b'\n            02/25/2017          '
"b'\nRoberts Hawaii, Inc. '",b'\n07/30/2017 ',b'\n            02/24/2017          '
b'\nAbbott Nutrition ',b'\n            n/a          ',b'\n            02/24/2017          '
"b""\nRod's Western Palace ""","b'\n10/11/2016, 02/10/2017 '",b'\n            02/24/2017          '
"b'\nLogic Supply, Inc. '",b'\n02/06/2017 ',b'\n            02/23/2017          '
b'\nJoFit ',b'\n            n/a          ',b'\n            02/22/2017          '
b'\nDiscover Financial Services ',b'\n11/02/2014 ',b'\n            02/20/2017          '
b'\nDiscover Financial Services ',b'\n01/02/2016 ',b'\n            02/20/2017          '
b'\nDiscover Financial Services ',b'\n11/29/2015 ',b'\n            02/20/2017          '
b'\nIntex Recreation Corp.  ',"b'\n02/24/2016, 12/14/2016 '",b'\n            02/20/2017          '
b'\nDEBOER INCOME TAX ',b'\n            n/a          ',b'\n            02/17/2017          '
b'\nOperating Engineers Local Union No. 3 ',b'\n02/09/2017 ',b'\n            02/15/2017          '
"b'\nThe Honest Kitchen, Inc. '",b'\n11/30/2016 ',b'\n            02/14/2017          '
b'\nNEO Tech ',b'\n01/27/2017 ',b'\n            02/12/2017          '
b'\nCCHCS ',b'\n01/23/2017 ',b'\n            02/09/2017          '
b'\nThe Boeing Company ',b'\n11/21/2016 ',b'\n            02/08/2017          '
b'\nVerity Medical Foundation ',b'\n01/06/2017 ',b'\n            02/07/2017          '
"b'\nPlatt College, Los Angeles LLC '",b'\n01/17/2017 ',b'\n            02/07/2017          '
b'\nCapital One ',b'\n            n/a          ',b'\n            02/06/2017          '
"b'\nNakawatase & Kaminsky, CPAs, LLP '","b'\n10/31/2016, 11/01/2016, 11/05/2016, 11/08/2016 '",b'\n            02/03/2017          '
"b'\nSix Continents Hotels, Inc. (d/b/a InterContinental Hotels Group) '",b'\n08/01/2016 ',b'\n            02/03/2017          '
"b'\nRenovate America, Inc. '",b'\n01/20/2017 ',b'\n            02/03/2017          '
"b'\nToys ""R"" Us-Delaware, Inc. '",b'\n01/17/2017 ',b'\n            02/02/2017          '
"b'\nDBM Global, Inc. '",b'\n01/07/2017 ',b'\n            02/02/2017          '
b'\nSunrun Inc. ',b'\n01/20/2017 ',b'\n            02/02/2017          '
b'\nPalomar Community College District ',b'\n01/05/2017 ',b'\n            01/30/2017          '
"b'\neHealthInsurance Services, Inc. '",b'\n01/20/2017 ',b'\n            01/27/2017          '
b'\nInternational Code Council ',"b'\n04/25/2016, 07/11/2016 '",b'\n            01/27/2017          '
"b'\nSynergy Specialists Medical Group, Inc.  '","b'\n12/05/2016, 12/06/2016, 12/07/2016, 12/08/2016, 12/09/2016 '",b'\n            01/27/2017          '
"b'\nCharles Komar & Sons, Inc. '","b'\n03/01/2015, 12/01/2016 '",b'\n            01/26/2017          '
b'\nPool Supply Unlimited ',b'\n01/09/2017 ',b'\n            01/23/2017          '
b'\nWonderful Center for Health Innovation ',b'\n12/12/2016 ',b'\n            01/20/2017          '
b'\nDepartment of Justice ',b'\n10/14/2016 ',b'\n            01/20/2017          '
"b'\nCoPilot Provider Support Services, Inc. '",b'\n            n/a          ',b'\n            01/19/2017          '
b'\nDiscover Financial Services ',b'\n01/31/2016 ',b'\n            01/18/2017          '
b'\nDiscover Financial Services ',b'\n11/18/2014 ',b'\n            01/18/2017          '
"b""\nChildren's Hospital Los Angeles """,b'\n10/18/2016 ',b'\n            01/13/2017          '
"b'\nSpiraledge, Inc. '","b'\n05/02/2016, 11/22/2016 '",b'\n            01/12/2017          '
"b'\nKevin Harrington, CPA '",b'\n            n/a          ',b'\n            01/09/2017          '
b'\nLegal Aid Society of Orange County ',b'\n09/25/2016 ',b'\n            01/06/2017          '
"b'\nInternational Association of Sheet Metal, Air, Rail & Transport Workers, Sheet Metal Workers\xe2\x80\x99 Local Union No. 104 '",b'\n10/03/2016 ',b'\n            12/30/2016          '
b'\nGraphik Dimensions Ltd. ',"b'\n07/12/2016, 11/30/2016 '",b'\n            12/28/2016          '
"b'\nThe Topps Company, Inc. '",b'\n07/30/2016 ',b'\n            12/27/2016          '
b'\nFriendFinder Networks Inc. ',"b'\n10/14/2016, 10/19/2016 '",b'\n            12/23/2016          '
b'\nClaremont University Consortium ',b'\n11/15/2016 ',b'\n            12/22/2016          '
b'\nDover Federal Credit Union ',"b'\n09/20/2016, 11/17/2016 '",b'\n            12/22/2016          '
"b'\nWestern Union Financial Services, Inc., on behalf of itself and its applicable subsidiaries  '",b'\n07/01/2016 ',b'\n            12/20/2016          '
b'\nKaiser Foundation Hospitals ',"b'\n11/16/2016, 11/28/2016 '",b'\n            12/20/2016          '
b'\nCounty of Los Angeles  ',b'\n05/13/2016 ',b'\n            12/16/2016          '
"b'\nTurner Broadcasting System, Inc. '",b'\n            n/a          ',b'\n            12/16/2016          '
b'\nYahoo! Inc. ',b'\n            n/a          ',b'\n            12/14/2016          '
b'\nK Partners Hotel Management ',b'\n04/02/2016 ',b'\n            12/14/2016          '
b'\nBraceAbility ',b'\n09/24/2016 ',b'\n            12/13/2016          '
b'\nQuest Diagnostics ',b'\n11/26/2016 ',b'\n            12/12/2016          '
b'\nAnchor Loans LP ',b'\n11/07/2016 ',b'\n            12/09/2016          '
"b'\nEast Valley Community Health Center, Inc. '",b'\n10/18/2016 ',b'\n            12/06/2016          '
b'\nTSYS Merchant Solutions ',b'\n11/14/2016 ',b'\n            12/05/2016          '
b'\nSan Jose Evergreen Community College District ',b'\n            n/a          ',b'\n            12/02/2016          '
"b'\nThe LANG Companies, Inc. '",b'\n09/01/2016 ',b'\n            11/30/2016          '
b'\nEmblemHealth ',"b'\n10/03/2016, 10/04/2016, 10/05/2016, 10/06/2016, 10/07/2016, 10/08/2016, 10/09/2016, 10/10/2016, 10/11/2016, 10/12/2016, 10/13/2016, 10/14/2016 '",b'\n            11/30/2016          '
"b'\nHillary Tentler, CPA '",b'\n11/04/2016 ',b'\n            11/29/2016          '
b'\nMichigan State University  ',b'\n11/13/2016 ',b'\n            11/29/2016          '
b'\nHewitt Associates LLC ',b'\n07/07/2016 ',b'\n            11/29/2016          '
b'\nIsland Hotel Company Limited ',"b'\n03/09/2016, 10/22/2016 '",b'\n            11/23/2016          '
b'\nThe Madison Square Garden Company ',b'\n11/09/2015 ',b'\n            11/22/2016          '
b'\nThe California Department of Corrections and Rehabilitation ',b'\n10/28/2016 ',b'\n            11/21/2016          '
b'\nSpringfield Armory ',b'\n10/03/2015 ',b'\n            11/18/2016          '
b'\nEye Institute of Marin ',"b'\n07/26/2016, 07/27/2016 '",b'\n            11/18/2016          '
"b'\nQVC, Inc. '",b'\n            n/a          ',b'\n            11/17/2016          '
"b'\nWatsonville Chiropractic, Inc. '",b'\n05/01/2016 ',b'\n            11/17/2016          '
"b'\nLuque Chiropractic, Inc. '","b'\n05/01/2016, 09/11/2016 '",b'\n            11/17/2016          '
b'\nBaxter Credit Union ',b'\n10/03/2016 ',b'\n            11/10/2016          '
b'\nEileen Fisher ',"b'\n09/09/2016, 10/24/2016 '",b'\n            11/09/2016          '
b'\nUFCW Local 655 Food Employers Joint Pension ',b'\n07/14/2016 ',b'\n            11/09/2016          '
"b'\nKaiser Permanente Health Plan, Inc of Northern California '",b'\n10/12/2016 ',b'\n            11/07/2016          '
b'\nUnixiz Inc ',b'\n            n/a          ',b'\n            11/06/2016          '
"b'\nWelk Resort Group, Inc. '",b'\n10/05/2016 ',b'\n            11/04/2016          '
b'\nNational Wholesale Incorporated ',"b'\n09/01/2016, 10/15/2016 '",b'\n            11/03/2016          '
"b'\nAnne M. Cummings, M.D., F.A.C.P. '","b'\n07/26/2016, 07/27/2016 '",b'\n            10/30/2016          '
b'\nBEYOND YOGA ',b'\n08/01/2016 ',b'\n            10/28/2016          '
b'\nDiscover Financial Services ',b'\n03/08/2015 ',b'\n            10/26/2016          '
b'\nDiscover Financial Services ',b'\n05/04/2014 ',b'\n            10/26/2016          '
b'\nDiscover Financial Services ',b'\n03/02/2015 ',b'\n            10/26/2016          '
"b'\nCisco Systems, Inc. '",b'\n08/18/2016 ',b'\n            10/25/2016          '
"b'\nSilver Creek Fitness & Physical Therapy, Silver Creek Physical Therapy Gilroy, Silver Creek Physical Therapy Sunnyvale, Silver Creek Physical Therapy Los Gatos  '","b'\n05/01/2016, 09/11/2016 '",b'\n            10/24/2016          '
b'\nChristian Louboutin LLC ',"b'\n08/28/2016, 10/03/2016 '",b'\n            10/20/2016          '
b'\nApria Healthcare ',b'\n08/05/2016 ',b'\n            10/20/2016          '
b'\nShutterstock Music Canada ULC d/b/a PremiumBeat ',b'\n09/29/2016 ',b'\n            10/20/2016          '
b'\nEastwood Company ',b'\n05/29/2016 ',b'\n            10/19/2016          '
b'\nBroadview Mortgage ',b'\n07/28/2016 ',b'\n            10/17/2016          '
b'\nCalOptima ',b'\n08/17/2016 ',b'\n            10/14/2016          '
"b'\nCurtis F. Robinson, M.D. Inc.  '","b'\n07/26/2016, 07/27/2016 '",b'\n            10/14/2016          '
b'\nIntegrity Transitional Hospital ',b'\n08/15/2016 ',b'\n            10/14/2016          '
"b'\nVera Bradley, Inc. '",b'\n07/25/2016 ',b'\n            10/12/2016          '
"b'\nQvale Auto Group, Inc. '",b'\n06/27/2016 ',b'\n            10/10/2016          '
b'\nPublic Health Institute ',b'\n07/04/2016 ',b'\n            10/05/2016          '
b'\nHutton Hotel ',"b'\n09/19/2012, 04/16/2015, 11/15/2015, 06/10/2016 '",b'\n            09/30/2016          '
b'\nCity of Vallejo ',b'\n05/09/2016 ',b'\n            09/29/2016          '
b'\nNovation Settlement Solutions ',b'\n            n/a          ',b'\n            09/26/2016          '
b'\nJive Software ',b'\n            n/a          ',b'\n            09/23/2016          '
b'\nDiscover Financial Services ',b'\n10/25/2015 ',b'\n            09/23/2016          '
b'\nDiscover Financial Services ',b'\n06/21/2015 ',b'\n            09/23/2016          '
b'\nDiscover Financial Services ',b'\n10/27/2015 ',b'\n            09/23/2016          '
"b'\nHal Meadows, M.D. '",b'\n07/27/2016 ',b'\n            09/23/2016          '
b'\nPremier America Credit Union ',b'\n06/29/2016 ',b'\n            09/22/2016          '
b'\nNapa Valley Dentistry ',b'\n08/11/2016 ',b'\n            09/22/2016          '
b'\nYahoo! Inc.  ',b'\n            n/a          ',b'\n            09/22/2016          '
b'\nUC San Diego School of Medicine ',b'\n08/03/2016 ',b'\n            09/22/2016          '
b'\nZazzle Inc. ',"b'\n08/22/2016, 08/15/2016 '",b'\n            09/21/2016          '
"b'\nStallcup & Associates, CPAs '",b'\n07/11/2016 ',b'\n            09/21/2016          '
b'\nUSC Keck and Norris Hospitals ',b'\n08/01/2016 ',b'\n            09/20/2016          '
"b'\nUrsus Holdings, LLC '","b'\n03/21/2016, 04/25/2016 '",b'\n            09/19/2016          '
"b'\nAscensus, Inc. '",b'\n04/29/2016 ',b'\n            09/19/2016          '
b'\nACTIVEOutdoors ',b'\n            n/a          ',b'\n            09/19/2016          '
"b""\nLulu's Fashion Lounge ""","b'\n08/11/2016, 08/16/2016 '",b'\n            09/16/2016          '
b'\nYuba Sutter Medical Clinic ',b'\n08/03/2016 ',b'\n            09/11/2016          '
"b'\nWheeler & Egger, CPAs, LLP '","b'\n08/04/2016, 08/09/2016 '",b'\n            09/11/2016          '
"b'\nPratap S. Kurra, M.D. '",b'\n08/08/2016 ',b'\n            09/11/2016          '
b'\nRebecca Minkoff ',b'\n            n/a          ',b'\n            09/09/2016          '
b'\nNoble House Hotels & Resorts ',"b'\n04/25/2016, 08/05/2016 '",b'\n            09/02/2016          '
"b'\nM Holdings Securities, Inc. '",b'\n07/29/2016 ',b'\n            08/31/2016          '
"b'\nKimpton Hotels & Restaurants Group, LLC '",b'\n02/16/2016 ',b'\n            08/31/2016          '
"b""\nJerry's Artarama N.C. Inc.  ""","b'\n05/03/2016, 07/10/2016 '",b'\n            08/30/2016          '
b'\nToyota Motor Credit Corporation ',b'\n06/28/2016 ',b'\n            08/26/2016          '
b'\nCounty of Sacramento ',b'\n08/08/2015 ',b'\n            08/26/2016          '
b'\nDominican Hospital ',"b'\n07/16/2015, 07/28/2016 '",b'\n            08/22/2016          '
b'\nSCAN Health Plan ',b'\n03/04/2016 ',b'\n            08/22/2016          '
"b""\nSchwan's Home Service, Inc. """,b'\n10/09/2015 ',b'\n            08/22/2016          '
b'\nSymphonix Health ',b'\n05/21/2016 ',b'\n            08/19/2016          '
"b'\nEddie Bauer, LLC '","b'\n01/02/2016, 07/17/2016 '",b'\n            08/18/2016          '
"b'\nNewkirk Products, Inc. '",b'\n05/21/2016 ',b'\n            08/18/2016          '
b'\nJohn E. Gonzalez DDS ',b'\n07/25/2016 ',b'\n            08/14/2016          '
"b'\nValley Anesthesiology Consultants, Inc. d/b/a Valley Anesthesiology and Pain Consultants '",b'\n03/30/2016 ',b'\n            08/12/2016          '
"b'\nBon Secours Health System, Inc. '",b'\n04/18/2016 ',b'\n            08/12/2016          '
b'\nHEI Hotels & Resorts ',"b'\n03/02/2015, 06/21/2016 '",b'\n            08/12/2016          '
"b'\nPAX Labs, Inc. '","b'\n06/25/2016, 07/22/2016 '",b'\n            08/12/2016          '
"b'\nNLU Products, LLC '","b'\n04/20/2015, 06/23/2016 '",b'\n            08/10/2016          '
"b'\nBrian Goldman, MD A Medical Corporation '",b'\n07/19/2016 ',b'\n            08/09/2016          '
"b'\n7-Eleven, Inc. '",b'\n06/13/2016 ',b'\n            08/09/2016          '
b'\nMulti-Color Corporation ',"b'\n05/14/2016, 05/15/2016 '",b'\n            08/05/2016          '
b'\nBanner Health ',"b'\n06/17/2016, 07/07/2016 '",b'\n            08/03/2016          '
b'\nDisney Consumer Products and Interactive Media (DCPI) ',"b'\n07/09/2016, 07/12/2016 '",b'\n            07/30/2016          '
"b'\ninVentiv Health, Inc. '",b'\n06/02/2016 ',b'\n            07/21/2016          '
b'\nDiscover Financial Services ',b'\n07/31/2015 ',b'\n            07/20/2016          '
b'\nDiscover Financial Services ',b'\n06/19/2014 ',b'\n            07/20/2016          '
"b'\nCiCi Enterprises, LP '","b'\n06/30/2015, 07/19/2016 '",b'\n            07/20/2016          '
b'\nSan Antonio Shoemakers ',"b'\n04/21/2016, 06/13/2016 '",b'\n            07/19/2016          '
b'\nEastbay Equities ',"b'\n12/02/2015, 05/18/2016 '",b'\n            07/15/2016          '
"b'\nMatador Recordings, LLC (d/b/a \xe2\x80\x9cMatador Direct\xe2\x80\x9d) '",b'\n04/28/2015 ',b'\n            07/15/2016          '
b'\nOpes Advisors ',b'\n05/26/2016 ',b'\n            07/14/2016          '
b'\nProject Management Institute ',"b'\n04/23/2016, 04/24/2016 '",b'\n            07/14/2016          '
b'\nKaiser Permanente Northern California ',"b'\n06/06/2010, 05/19/2016 '",b'\n            07/12/2016          '
"b'\nUniversity of Southern California, on behalf of KUSC  '",b'\n            n/a          ',b'\n            07/11/2016          '
b'\nOmni Hotels & Resorts ',b'\n12/23/2015 ',b'\n            07/08/2016          '
"b""\nWendy's of Fresno, Inc. ""","b'\n12/02/2015, 06/08/2016 '",b'\n            07/07/2016          '
b'\nWencom LLC ',"b'\n01/13/2016, 06/08/2016 '",b'\n            07/07/2016          '
b'\nRonald L. Ross ',"b'\n01/13/2016, 06/08/2016 '",b'\n            07/07/2016          '
"b'\nRDR Foods, Inc. '","b'\n01/13/2016, 06/08/2016 '",b'\n            07/07/2016          '
b'\nPirthipal Dhillon ',"b'\n12/02/2015, 06/08/2016 '",b'\n            07/07/2016          '
"b'\nPeninsula Foods, L.P. '","b'\n12/02/2015, 06/08/2016 '",b'\n            07/07/2016          '
b'\nGil Moore Oil Company ',"b'\n12/02/2015, 06/08/2016 '",b'\n            07/07/2016          '
"b'\nDesmond Foods, L.P. '","b'\n12/02/2015, 06/08/2016 '",b'\n            07/07/2016          '
b'\nDependable Foods ',"b'\n12/02/2015, 06/08/2016 '",b'\n            07/07/2016          '
"b'\nCotti Foods California, Inc. '","b'\n12/02/2015, 06/28/2016 '",b'\n            07/07/2016          '
"b'\nBMP/Pennant Holdings, LLC '","b'\n01/13/2016, 06/08/2016 '",b'\n            07/07/2016          '
b'\nAmaash Corporation ',"b'\n12/02/2015, 06/08/2016 '",b'\n            07/07/2016          '
b'\nCDCR - California Health Care Facility ',b'\n05/02/2016 ',b'\n            07/06/2016          '
"b'\nKontrolFreek, LLC '",b'\n            n/a          ',b'\n            06/30/2016          '
b'\nKool Kids Model & Talent Management ',b'\n02/16/2016 ',b'\n            06/30/2016          '
b'\nVerticalScope Inc.  ',b'\n            n/a          ',b'\n            06/29/2016          '
b'\nNoodles & Company ',"b'\n01/31/2016, 06/02/2016 '",b'\n            06/28/2016          '
b'\nHard Rock Hotel & Casino Las Vegas ',b'\n10/27/2015 ',b'\n            06/27/2016          '
b'\nMercy Medical Center Redding ',"b'\n06/01/2016, 06/13/2016 '",b'\n            06/24/2016          '
b'\nDiscover Financial Services ',b'\n            n/a          ',b'\n            06/17/2016          '
b'\nDiscover Financial Services ',b'\n01/01/2014 ',b'\n            06/17/2016          '
b'\nMulti-Color Corporation ',"b'\n05/15/2016, 05/14/2016 '",b'\n            06/16/2016          '
b'\nUniversity of Connecticut ',b'\n09/24/2016 ',b'\n            06/14/2016          '
b'\nAcer Service Corporation ',b'\n05/12/2015 ',b'\n            06/14/2016          '
b'\nStanford University ',b'\n            n/a          ',b'\n            06/13/2016          '
b'\nMomentum for Mental Health  ',b'\n06/03/2016 ',b'\n            06/13/2016          '
b'\nMEI-GSR ',"b'\n02/19/2014, 03/13/2014, 03/20/2015, 08/06/2015 '",b'\n            06/13/2016          '
"b'\nState Farm Mutual Automobile Insurance Companies, its affilitates and subsidiaries '",b'\n08/07/2014 ',b'\n            06/07/2016          '
"b'\nEmpathia, Inc.  '",b'\n            n/a          ',b'\n            06/06/2016          '
b'\nMyspace LLC ',b'\n            n/a          ',b'\n            06/03/2016          '
b'\nLinkedIn Corporation ',b'\n05/17/2016 ',b'\n            06/02/2016          '
b'\nVerity Health System ',b'\n04/27/2016 ',b'\n            05/31/2016          '
"b'\nA&A Ready Mixed Concrete, Inc. '",b'\n05/16/2016 ',b'\n            05/24/2016          '
b'\nBerkeley Endocrine Clinic ',b'\n04/22/2016 ',b'\n            05/23/2016          '
b'\nThe Paper Works ',b'\n03/30/2016 ',b'\n            05/18/2016          '
b'\nFlurish Inc. dba LendUp ',b'\n            n/a          ',b'\n            05/16/2016          '
b'\nSolano Community College ',b'\n04/28/2016 ',b'\n            05/16/2016          '
"b'\nZocdoc, Inc. '",b'\n06/15/2011 ',b'\n            05/16/2016          '
b'\nCalifornia Correctional Health Care Services ',b'\n02/25/2016 ',b'\n            05/15/2016          '
"b'\nImperial Valley Family Care Medical Group, APC '",b'\n03/21/2016 ',b'\n            05/13/2016          '
b'\nCity College of San Francisco ',b'\n            n/a          ',b'\n            05/13/2016          '
"b'\nLynn N. Talbott, Jr., CPA, CVA '",b'\n04/19/2016 ',b'\n            05/11/2016          '
"b'\nHi Tec Sports USA, Inc '",b'\n01/24/2016 ',b'\n            05/11/2016          '
b'\nSan Mateo Foster City School District ',b'\n            n/a          ',b'\n            05/11/2016          '
b'\nGoogle Inc. ',b'\n03/29/2016 ',b'\n            05/06/2016          '
"b'\nStonebridge Realty Advisors, Inc. '","b'\n11/08/2015, 03/26/2016 '",b'\n            05/06/2016          '
"b""\nBay Area Children's Association """,b'\n01/15/2015 ',b'\n            05/05/2016          '
b'\nCertifiKid LLC ',"b'\n01/25/2016, 03/19/2016 '",b'\n            05/05/2016          '
b'\nSaint Agnes Medical Center ',b'\n05/02/2016 ',b'\n            05/05/2016          '
b'\nCalifornia State University Northridge ',b'\n            n/a          ',b'\n            05/05/2016          '
b'\nHume Lake Christian Camps ',"b'\n02/29/2016, 03/04/2016 '",b'\n            05/05/2016          '
b'\nTribune Media ',b'\n04/04/2016 ',b'\n            05/04/2016          '
b'\nAreas ',"b'\n04/04/2016, 04/29/2016 '",b'\n            05/04/2016          '
"b'\nKen Waterman CPA, PC '",b'\n03/27/2016 ',b'\n            05/03/2016          '
"b'\nCharles Schwab & Co., Inc. '",b'\n            n/a          ',b'\n            05/03/2016          '
"b'\nLafler Moore Connerty & Webb, LLC '","b'\n03/11/2016, 01/27/2016 '",b'\n            05/03/2016          '
"b'\nAdvance International Marketing, Inc. '",b'\n04/04/2016 ',b'\n            04/26/2016          '
"b'\nLuckyPet, Inc. '",b'\n10/15/2015 ',b'\n            04/26/2016          '
b'\nBerkeley Unified School District ',b'\n04/11/2016 ',b'\n            04/22/2016          '
"b'\nVoya Financial Advisors, Inc. '",b'\n04/13/2016 ',b'\n            04/21/2016          '
"b'\nU Gym, LLC '",b'\n04/04/2016 ',b'\n            04/20/2016          '
"b'\nd\xc5\x8dTERRA International, LLC '",b'\n            n/a          ',b'\n            04/18/2016          '
b'\nAcademy of Art Unversity  ',b'\n03/04/2016 ',b'\n            04/13/2016          '
"b'\nBristol Farms, Inc. '",b'\n03/30/2016 ',b'\n            04/11/2016          '
b'\nStaminus Communications ',b'\n03/10/2016 ',b'\n            04/11/2016          '
b'\nSchwaab. Inc.  ',"b'\n01/22/2014, 08/21/2015, 11/30/2015, 02/04/2016 '",b'\n            04/11/2016          '
b'\nOptumRx ',b'\n03/16/2016 ',b'\n            04/08/2016          '
"b'\nEssex Property Trust, Inc. '",b'\n03/17/2016 ',b'\n            04/07/2016          '
"b'\nThe Whiting-Turner Contracting Company (""Whiting-Turner"") '",b'\n03/08/2016 ',b'\n            04/06/2016          '
b'\nKatherman Kitts & Co. LLP ',b'\n02/25/2016 ',b'\n            04/05/2016          '
"b'\nPivotal Software, Inc. '",b'\n03/22/2016 ',b'\n            03/30/2016          '
b'\nUllrich Delevati CPAs ',b'\n            n/a          ',b'\n            03/28/2016          '
b'\nSprouts Farmers Market ',b'\n03/14/2016 ',b'\n            03/28/2016          '
b'\nAspiranet ',b'\n03/21/2016 ',b'\n            03/25/2016          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            03/24/2016          '
b'\nLamps Plus and Pacific Coast Lighting ',b'\n02/11/2016 ',b'\n            03/23/2016          '
b'\nDiscover Financial Services ',b'\n08/02/2015 ',b'\n            03/21/2016          '
b'\nDiscover Financial Services ',b'\n02/19/2014 ',b'\n            03/21/2016          '
"b'\nLaz Karp Associates, LLC '",b'\n02/17/2016 ',b'\n            03/21/2016          '
"b'\nPerkinElmer, Inc. '",b'\n02/24/2016 ',b'\n            03/16/2016          '
"b'\nAdvance Auto Parts, Inc '",b'\n03/07/2016 ',b'\n            03/16/2016          '
"b'\nLaborers Funds Administrative Office of Northern California, Inc. '",b'\n02/17/2016 ',b'\n            03/15/2016          '
"b""\nBailey's Inc """,b'\n01/01/2013 ',b'\n            03/14/2016          '
"b'\nMitchell International, Inc. '",b'\n02/24/2016 ',b'\n            03/14/2016          '
b'\nSequoia Union High School District ',b'\n02/03/2016 ',b'\n            03/11/2016          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n12/07/2013 ',b'\n            03/10/2016          '
"b'\nSeagate US, LLC '",b'\n03/01/2016 ',b'\n            03/09/2016          '
b'\n1-800-Flowers.com ',b'\n02/15/2016 ',b'\n            03/08/2016          '
b'\nBilly Casper Golf ',b'\n02/26/2016 ',b'\n            03/08/2016          '
b'\nTurner Construction Company ',b'\n03/02/2016 ',b'\n            03/07/2016          '
"b'\nSnapchat, Inc. '",b'\n02/26/2016 ',b'\n            03/04/2016          '
b'\n21st Century Oncology ',b'\n            n/a          ',b'\n            03/04/2016          '
b'\nRosen Hotels & Resorts ',b'\n09/02/2014 ',b'\n            03/04/2016          '
b'\nCentral Concrete Supply Co. Inc. ',b'\n02/23/2016 ',b'\n            03/01/2016          '
b'\nTN Marketing ',b'\n11/24/2015 ',b'\n            02/29/2016          '
"b'\nUniversity of California, Berkeley (The Regents of the University of California) '",b'\n12/28/2015 ',b'\n            02/26/2016          '
"b'\nMercy Housing, Inc., Mercy Housing Management Group, Inc. '",b'\n02/19/2016 ',b'\n            02/25/2016          '
b'\nSuperior Labels ',b'\n11/03/2015 ',b'\n            02/25/2016          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            02/23/2016          '
"b'\nIncipio, LLC '","b'\n09/16/2015, 01/29/2016 '",b'\n            02/22/2016          '
